record_id,question_id,decision,reason_codes,confidence,evidence_basis,status,batch_id,assigned_agent,screened_at
pubmed:20301300,HRS1_PERIOPERATIVE,deprioritize,exposure|outcome|design_signal|off_topic,high,abstract,ok,v40-agent-0001,/root/terms_hrs1,2026-07-28T04:32:11+00:00
pubmed:20301352,HRS1_PERIOPERATIVE,deprioritize,exposure|outcome|design_signal|off_topic,high,abstract,ok,v40-agent-0001,/root/terms_hrs1,2026-07-28T04:32:11+00:00
pubmed:20301427,HRS1_PERIOPERATIVE,deprioritize,exposure|design_signal|off_topic,high,abstract,ok,v40-agent-0001,/root/terms_hrs1,2026-07-28T04:32:11+00:00
pubmed:20301428,HRS1_PERIOPERATIVE,deprioritize,exposure|outcome|design_signal|off_topic,high,abstract,ok,v40-agent-0001,/root/terms_hrs1,2026-07-28T04:32:11+00:00
pubmed:20301523,HRS1_PERIOPERATIVE,deprioritize,exposure|outcome|human_signal|design_signal|off_topic,high,abstract,ok,v40-agent-0001,/root/terms_hrs1,2026-07-28T04:32:11+00:00
pubmed:20301543,HRS1_PERIOPERATIVE,deprioritize,exposure|outcome|human_signal|design_signal|off_topic,high,abstract,ok,v40-agent-0001,/root/terms_hrs1,2026-07-28T04:32:11+00:00
pubmed:20301578,HRS1_PERIOPERATIVE,deprioritize,exposure|outcome|human_signal|design_signal|off_topic,high,abstract,ok,v40-agent-0001,/root/terms_hrs1,2026-07-28T04:32:11+00:00
pubmed:20301613,HRS1_PERIOPERATIVE,deprioritize,exposure|outcome|design_signal|off_topic,high,abstract,ok,v40-agent-0001,/root/terms_hrs1,2026-07-28T04:32:11+00:00
pubmed:20301722,HRS1_PERIOPERATIVE,deprioritize,exposure|outcome|human_signal|design_signal|off_topic,high,abstract,ok,v40-agent-0001,/root/terms_hrs1,2026-07-28T04:32:11+00:00
pubmed:20301765,HRS1_PERIOPERATIVE,deprioritize,exposure|outcome|design_signal|off_topic,high,abstract,ok,v40-agent-0001,/root/terms_hrs1,2026-07-28T04:32:11+00:00
pubmed:26247088,HRS1_PERIOPERATIVE,deprioritize,human_signal|off_topic,high,abstract,ok,v40-agent-0001,/root/terms_hrs1,2026-07-28T04:32:11+00:00
pubmed:28771291,HRS1_PERIOPERATIVE,deprioritize,outcome|design_signal|off_topic,high,abstract,ok,v40-agent-0001,/root/terms_hrs1,2026-07-28T04:32:11+00:00
pubmed:30000845,HRS1_PERIOPERATIVE,deprioritize,exposure|outcome|design_signal|off_topic,high,abstract,ok,v40-agent-0001,/root/terms_hrs1,2026-07-28T04:32:11+00:00
pubmed:30000923,HRS1_PERIOPERATIVE,deprioritize,exposure|outcome|off_topic,high,abstract,ok,v40-agent-0001,/root/terms_hrs1,2026-07-28T04:32:11+00:00
pubmed:30422554,HRS1_PERIOPERATIVE,deprioritize,off_topic,high,abstract,ok,v40-agent-0001,/root/terms_hrs1,2026-07-28T04:32:11+00:00
pubmed:30570992,HRS1_PERIOPERATIVE,retain,population|exposure|outcome|human_signal,high,abstract,ok,v40-agent-0001,/root/terms_hrs1,2026-07-28T04:32:11+00:00
pubmed:30860735,HRS1_PERIOPERATIVE,deprioritize,population|off_topic,high,abstract,ok,v40-agent-0001,/root/terms_hrs1,2026-07-28T04:32:11+00:00
pubmed:31364414,HRS1_PERIOPERATIVE,deprioritize,outcome|human_signal|design_signal|off_topic,high,abstract,ok,v40-agent-0001,/root/terms_hrs1,2026-07-28T04:32:11+00:00
pubmed:31919102,HRS1_PERIOPERATIVE,deprioritize,outcome|human_signal|design_signal|off_topic,high,abstract,ok,v40-agent-0001,/root/terms_hrs1,2026-07-28T04:32:11+00:00
pubmed:32105133,HRS1_PERIOPERATIVE,deprioritize,human_signal|off_topic,high,abstract,ok,v40-agent-0001,/root/terms_hrs1,2026-07-28T04:32:11+00:00
