record_id,question_id,decision,reason_codes,confidence,evidence_basis,status
pubmed:10839071,HRS1_PERIOPERATIVE,deprioritize,population|off_topic,medium,abstract,ok
pubmed:10861158,HRS1_PERIOPERATIVE,retain,population|exposure|human_signal|design_signal,medium,abstract,ok
pubmed:10876447,HRS1_PERIOPERATIVE,retain,population|exposure|outcome|human_signal|design_signal,high,abstract,ok
pubmed:11090733,HRS1_PERIOPERATIVE,retain,population|exposure|human_signal|design_signal,medium,abstract,ok
pubmed:11103054,HRS1_PERIOPERATIVE,deprioritize,population|outcome|off_topic,medium,abstract,ok
pubmed:11111530,HRS1_PERIOPERATIVE,deprioritize,off_topic|insufficient_abstract,low,title_only,ok
pubmed:11132009,HRS1_PERIOPERATIVE,retain,population|exposure|outcome|human_signal|design_signal,high,abstract,ok
pubmed:11184531,HRS1_PERIOPERATIVE,uncertain,population|exposure|insufficient_abstract,low,title_only,ok
pubmed:11206893,HRS1_PERIOPERATIVE,retain,population|exposure|outcome|human_signal|design_signal,high,abstract,ok
pubmed:11251502,HRS1_PERIOPERATIVE,deprioritize,off_topic,high,abstract,ok
pubmed:11266639,HRS1_PERIOPERATIVE,retain,population|exposure|outcome,medium,abstract,ok
pubmed:11448284,HRS1_PERIOPERATIVE,retain,population|exposure|outcome|design_signal,high,abstract,ok
pubmed:11493302,HRS1_PERIOPERATIVE,retain,population|exposure|outcome|design_signal,high,abstract,ok
pubmed:11574384,HRS1_PERIOPERATIVE,retain,population|exposure|human_signal|design_signal,medium,abstract,ok
pubmed:11712472,HRS1_PERIOPERATIVE,retain,population|exposure|outcome,high,abstract,ok
pubmed:11783211,HRS1_PERIOPERATIVE,deprioritize,exposure|off_topic,medium,abstract,ok
pubmed:11789467,HRS1_PERIOPERATIVE,retain,population|exposure|outcome,high,abstract,ok
pubmed:11940341,HRS1_PERIOPERATIVE,deprioritize,off_topic,high,abstract,ok
pubmed:11958804,HRS1_PERIOPERATIVE,deprioritize,animal_term_present|off_topic,high,abstract,ok
pubmed:11969062,HRS1_PERIOPERATIVE,retain,population|exposure|outcome|human_signal|design_signal,high,abstract,ok
pubmed:12122516,HRS1_PERIOPERATIVE,retain,population|exposure|outcome|human_signal|design_signal,high,abstract,ok
pubmed:12134110,HRS1_PERIOPERATIVE,retain,population|exposure|outcome|human_signal|design_signal,medium,abstract,ok
pubmed:12190754,HRS1_PERIOPERATIVE,retain,population|exposure|outcome,high,abstract,ok
pubmed:12351304,HRS1_PERIOPERATIVE,deprioritize,population|off_topic,medium,abstract,ok
pubmed:12393786,HRS1_PERIOPERATIVE,retain,population|exposure|outcome|human_signal|design_signal,high,abstract,ok
pubmed:12422474,HRS1_PERIOPERATIVE,deprioritize,off_topic|insufficient_abstract,low,title_only,ok
pubmed:12514145,HRS1_PERIOPERATIVE,retain,population|exposure|human_signal|design_signal,medium,abstract,ok
pubmed:12528489,HRS1_PERIOPERATIVE,retain,population|exposure|outcome|human_signal|design_signal,high,abstract,ok
pubmed:12575376,HRS1_PERIOPERATIVE,deprioritize,exposure|off_topic,medium,abstract,ok
pubmed:12575883,HRS1_PERIOPERATIVE,uncertain,population,low,abstract,ok
pubmed:12769317,HRS1_PERIOPERATIVE,retain,population|exposure|outcome|human_signal|design_signal,medium,abstract,ok
pubmed:13678141,HRS1_PERIOPERATIVE,retain,population|exposure|outcome,high,abstract,ok
pubmed:13891485,HRS1_PERIOPERATIVE,deprioritize,off_topic|insufficient_abstract,low,title_only,ok
pubmed:14605480,HRS1_PERIOPERATIVE,retain,population|exposure|outcome|design_signal,medium,abstract,ok
pubmed:14666012,HRS1_PERIOPERATIVE,retain,population|exposure|outcome|design_signal,medium,abstract,ok
pubmed:14976886,HRS1_PERIOPERATIVE,retain,population|exposure|outcome|design_signal,medium,abstract,ok
pubmed:14984852,HRS1_PERIOPERATIVE,retain,population|exposure|human_signal|design_signal,medium,abstract,ok
pubmed:15017578,HRS1_PERIOPERATIVE,retain,population|exposure|outcome|human_signal|design_signal,medium,abstract,ok
pubmed:15109694,HRS1_PERIOPERATIVE,retain,population|exposure|outcome,high,abstract,ok
pubmed:15195032,HRS1_PERIOPERATIVE,retain,population|exposure|outcome|human_signal|design_signal,high,abstract,ok
pubmed:15385077,HRS1_PERIOPERATIVE,retain,population|exposure|outcome|human_signal|design_signal,high,abstract,ok
pubmed:15910344,HRS1_PERIOPERATIVE,retain,population|exposure|outcome|human_signal|design_signal,high,abstract,ok
pubmed:15960738,HRS1_PERIOPERATIVE,retain,exposure|outcome|insufficient_abstract,low,title_only,ok
pubmed:16093231,HRS1_PERIOPERATIVE,retain,exposure|outcome,low,abstract,ok
pubmed:16201292,HRS1_PERIOPERATIVE,deprioritize,exposure|off_topic,medium,abstract,ok
pubmed:16261853,HRS1_PERIOPERATIVE,deprioritize,population|off_topic,medium,abstract,ok
pubmed:16281740,HRS1_PERIOPERATIVE,retain,population|exposure|outcome|human_signal|design_signal,high,abstract,ok
pubmed:16337968,HRS1_PERIOPERATIVE,retain,exposure|outcome|human_signal|design_signal,medium,abstract,ok
pubmed:16543859,HRS1_PERIOPERATIVE,retain,population|exposure|insufficient_abstract,low,title_only,ok
pubmed:16613276,HRS1_PERIOPERATIVE,retain,population|exposure|outcome|design_signal,medium,abstract,ok
pubmed:16669953,HRS1_PERIOPERATIVE,deprioritize,off_topic,high,abstract,ok
pubmed:16758063,HRS1_PERIOPERATIVE,retain,population|exposure|insufficient_abstract,low,title_only,ok
pubmed:16932221,HRS1_PERIOPERATIVE,retain,population|exposure|insufficient_abstract,low,title_only,ok
pubmed:16935738,HRS1_PERIOPERATIVE,retain,population|exposure|outcome,high,abstract,ok
pubmed:16955723,HRS1_PERIOPERATIVE,retain,population|exposure|outcome|design_signal,medium,abstract,ok
pubmed:17058823,HRS1_PERIOPERATIVE,retain,population|exposure|outcome|design_signal,medium,abstract,ok
pubmed:17064525,HRS1_PERIOPERATIVE,retain,population|exposure|outcome|human_signal|design_signal,high,abstract,ok
pubmed:17094523,HRS1_PERIOPERATIVE,retain,population|exposure|outcome,high,abstract,ok
pubmed:17128108,HRS1_PERIOPERATIVE,deprioritize,exposure|off_topic,medium,abstract,ok
pubmed:17312476,HRS1_PERIOPERATIVE,retain,population|exposure|outcome|design_signal,high,abstract,ok
pubmed:17382219,HRS1_PERIOPERATIVE,deprioritize,population|off_topic,medium,abstract,ok
pubmed:17430769,HRS1_PERIOPERATIVE,retain,population|exposure|outcome,medium,abstract,ok
pubmed:17432678,HRS1_PERIOPERATIVE,retain,population|exposure|outcome|design_signal,medium,abstract,ok
pubmed:17466873,HRS1_PERIOPERATIVE,retain,population|exposure|outcome|human_signal|design_signal,high,abstract,ok
pubmed:17633371,HRS1_PERIOPERATIVE,retain,population|exposure|outcome|design_signal,medium,abstract,ok
pubmed:17640426,HRS1_PERIOPERATIVE,retain,population|exposure|outcome|design_signal,high,abstract,ok
pubmed:17672962,HRS1_PERIOPERATIVE,retain,population|exposure|outcome|human_signal|design_signal,high,abstract,ok
pubmed:17894152,HRS1_PERIOPERATIVE,deprioritize,population|off_topic,medium,abstract,ok
pubmed:18166748,HRS1_PERIOPERATIVE,retain,population|exposure|outcome|human_signal|design_signal,medium,abstract,ok
pubmed:18376362,HRS1_PERIOPERATIVE,deprioritize,exposure|off_topic,high,abstract,ok
pubmed:18418648,HRS1_PERIOPERATIVE,retain,population|exposure|outcome|design_signal,medium,abstract,ok
pubmed:18482012,HRS1_PERIOPERATIVE,deprioritize,population|off_topic,medium,abstract,ok
pubmed:18567171,HRS1_PERIOPERATIVE,retain,population|exposure|outcome|design_signal,medium,abstract,ok
pubmed:18605369,HRS1_PERIOPERATIVE,deprioritize,off_topic|insufficient_abstract,low,title_only,ok
pubmed:18637616,HRS1_PERIOPERATIVE,retain,population|exposure|outcome|human_signal|design_signal,high,abstract,ok
pubmed:18796123,HRS1_PERIOPERATIVE,retain,exposure|outcome|insufficient_abstract,low,title_only,ok
pubmed:19116576,HRS1_PERIOPERATIVE,retain,population|exposure|outcome|design_signal,high,abstract,ok
pubmed:19153029,HRS1_PERIOPERATIVE,retain,population|exposure|outcome|human_signal|design_signal,high,abstract,ok
pubmed:19224800,HRS1_PERIOPERATIVE,retain,population|exposure|outcome|design_signal,medium,abstract,ok
pubmed:19338151,HRS1_PERIOPERATIVE,retain,population|exposure|outcome|design_signal,medium,abstract,ok
pubmed:19476768,HRS1_PERIOPERATIVE,retain,population|exposure|outcome|human_signal|design_signal,high,abstract,ok
pubmed:19526755,HRS1_PERIOPERATIVE,retain,population|exposure|outcome|design_signal,medium,abstract,ok
pubmed:19570440,HRS1_PERIOPERATIVE,retain,population|exposure|outcome|human_signal|design_signal,medium,abstract,ok
pubmed:19590205,HRS1_PERIOPERATIVE,deprioritize,population|off_topic,medium,abstract,ok
pubmed:19825176,HRS1_PERIOPERATIVE,retain,population|exposure|outcome|human_signal|design_signal,high,abstract,ok
pubmed:19921983,HRS1_PERIOPERATIVE,retain,population|exposure|outcome|human_signal|design_signal,high,abstract,ok
pubmed:19922917,HRS1_PERIOPERATIVE,retain,exposure|outcome|insufficient_abstract,low,title_only,ok
pubmed:19994614,HRS1_PERIOPERATIVE,deprioritize,population|off_topic,medium,abstract,ok
