retrieval_id,record_id,question_id,search_run_id,database,provider_id,status
RET-A1-CTGOV-NCT00264277,REC-CTGOV-NCT00264277,A1,ctgov_a1_designpilot_20260710,ClinicalTrials.gov,NCT00264277,design_pilot_not_final_search
RET-A1-CTGOV-NCT04730037,REC-CTGOV-NCT04730037,A1,ctgov_a1_designpilot_20260710,ClinicalTrials.gov,NCT04730037,design_pilot_not_final_search
RET-A1-CTGOV-NCT07571460,REC-CTGOV-NCT07571460,A1,ctgov_a1_designpilot_20260710,ClinicalTrials.gov,NCT07571460,design_pilot_not_final_search
RET-A1-CTGOV-NCT01006733,REC-CTGOV-NCT01006733,A1,ctgov_a1_designpilot_20260710,ClinicalTrials.gov,NCT01006733,design_pilot_not_final_search
RET-A1-CTGOV-NCT00287313,REC-CTGOV-NCT00287313,A1,ctgov_a1_designpilot_20260710,ClinicalTrials.gov,NCT00287313,design_pilot_not_final_search
RET-A1-CTGOV-NCT03085576,REC-CTGOV-NCT03085576,A1,ctgov_a1_designpilot_20260710,ClinicalTrials.gov,NCT03085576,design_pilot_not_final_search
RET-A1-CTGOV-NCT02533960,REC-CTGOV-NCT02533960,A1,ctgov_a1_designpilot_20260710,ClinicalTrials.gov,NCT02533960,design_pilot_not_final_search
RET-A1-CTGOV-NCT00726726,REC-CTGOV-NCT00726726,A1,ctgov_a1_designpilot_20260710,ClinicalTrials.gov,NCT00726726,design_pilot_not_final_search
RET-A1-CTGOV-NCT05515120,REC-CTGOV-NCT05515120,A1,ctgov_a1_designpilot_20260710,ClinicalTrials.gov,NCT05515120,design_pilot_not_final_search
RET-A1-CTGOV-NCT00691470,REC-CTGOV-NCT00691470,A1,ctgov_a1_designpilot_20260710,ClinicalTrials.gov,NCT00691470,design_pilot_not_final_search
RET-A1-CTGOV-NCT01285661,REC-CTGOV-NCT01285661,A1,ctgov_a1_designpilot_20260710,ClinicalTrials.gov,NCT01285661,design_pilot_not_final_search
RET-A1-CTGOV-NCT04344717,REC-CTGOV-NCT04344717,A1,ctgov_a1_designpilot_20260710,ClinicalTrials.gov,NCT04344717,design_pilot_not_final_search
RET-A1-CTGOV-NCT04569279,REC-CTGOV-NCT04569279,A1,ctgov_a1_designpilot_20260710,ClinicalTrials.gov,NCT04569279,design_pilot_not_final_search
RET-A1-CTGOV-NCT01507051,REC-CTGOV-NCT01507051,A1,ctgov_a1_designpilot_20260710,ClinicalTrials.gov,NCT01507051,design_pilot_not_final_search
RET-A1-CTGOV-NCT02789917,REC-CTGOV-NCT02789917,A1,ctgov_a1_designpilot_20260710,ClinicalTrials.gov,NCT02789917,design_pilot_not_final_search
RET-A1-CTGOV-NCT05643651,REC-CTGOV-NCT05643651,A1,ctgov_a1_designpilot_20260710,ClinicalTrials.gov,NCT05643651,design_pilot_not_final_search
RET-A1-CTGOV-NCT03977363,REC-CTGOV-NCT03977363,A1,ctgov_a1_designpilot_20260710,ClinicalTrials.gov,NCT03977363,design_pilot_not_final_search
RET-A1-CTGOV-NCT03847181,REC-CTGOV-NCT03847181,A1,ctgov_a1_designpilot_20260710,ClinicalTrials.gov,NCT03847181,design_pilot_not_final_search
RET-A1-CTGOV-NCT04066764,REC-CTGOV-NCT04066764,A1,ctgov_a1_designpilot_20260710,ClinicalTrials.gov,NCT04066764,design_pilot_not_final_search
RET-A1-CTGOV-NCT02911545,REC-CTGOV-NCT02911545,A1,ctgov_a1_designpilot_20260710,ClinicalTrials.gov,NCT02911545,design_pilot_not_final_search
RET-A1-CTGOV-NCT00905229,REC-CTGOV-NCT00905229,A1,ctgov_a1_designpilot_20260710,ClinicalTrials.gov,NCT00905229,design_pilot_not_final_search
RET-A1-CTGOV-NCT02319460,REC-CTGOV-NCT02319460,A1,ctgov_a1_designpilot_20260710,ClinicalTrials.gov,NCT02319460,design_pilot_not_final_search
RET-A1-CTGOV-NCT02610933,REC-CTGOV-NCT02610933,A1,ctgov_a1_designpilot_20260710,ClinicalTrials.gov,NCT02610933,design_pilot_not_final_search
RET-A1-CTGOV-NCT02735902,REC-CTGOV-NCT02735902,A1,ctgov_a1_designpilot_20260710,ClinicalTrials.gov,NCT02735902,design_pilot_not_final_search
RET-A1-CTGOV-NCT07658989,REC-CTGOV-NCT07658989,A1,ctgov_a1_designpilot_20260710,ClinicalTrials.gov,NCT07658989,design_pilot_not_final_search
