retrieval_id,record_id,question_id,nct_id,brief_title,official_title,overall_status,study_type,phases,enrollment,conditions,interventions,lead_sponsor,start_date,completion_date,has_results,registry_url,known_query_risk,decision_authority,status
RET-A1-CTGOV-NCT00264277,REC-CTGOV-NCT00264277,A1,NCT00264277,D-dimer to Establish Duration of Anticoagulation After Venous Thromboembolism,"D-dimer Test to Establish Duration of Anticoagulation After a First Idiopathic Episode of Venous Thromboembolism; the Prospective Randomized ""Prolong"" Study",COMPLETED,INTERVENTIONAL,PHASE4,600,Deep Vein Thrombosis|Pulmonary Embolism,DRUG:Vitamin K antagonist (Coumarin anticoagulants),IRCCS Azienda Ospedaliero-Universitaria di Bologna,2002-09,2005-09,false,https://clinicaltrials.gov/study/NCT00264277,vitamin K antagonist lexical false positive,none,context_only_not_a_screening_decision
RET-A1-CTGOV-NCT04730037,REC-CTGOV-NCT04730037,A1,NCT04730037,Clinical Trial to Investigate Safety and Efficacy of Edoxaban in Patients With CTEPH (KABUKI),"An Investigator-initiated, Multicenter, Phase 3, Randomized, Single-blind, Double-dummy, Parallel-group Study of Evaluate the Efficacy and Safety of Edoxaban Versus Warfarin (Vitamin K Antagonist) in Subjects With Chronic Thromboembolic Pulmonary Hypertension Taking Warfarin (Vitamin K Antagonist) at Baseline: KABUKI",COMPLETED,INTERVENTIONAL,PHASE3,74,CTEPH,DRUG:Edoxaban|DRUG:Warfarin Potassium|DRUG:Warfarin Potassium placebo|DRUG:Edoxaban placebo,Kyushu University,2021-03-23,2023-06-27,false,https://clinicaltrials.gov/study/NCT04730037,vitamin K antagonist lexical false positive,none,context_only_not_a_screening_decision
RET-A1-CTGOV-NCT07571460,REC-CTGOV-NCT07571460,A1,NCT07571460,Clinical Application of Simcyp-Guided Warfarin Initiation Doses in Cirrhotic Patients With Portal Vein Thrombosis,Dose Prediction for Statins and Anticoagulant Medications in Cirrhotic Patients Using Simcyp Program: Applications in Clinical Practice,COMPLETED,INTERVENTIONAL,PHASE4,21,Liver Cirrhosis|Portal Vein Thrombosis,DRUG:Warfarin 3 mg|DRUG:Warfarin 2 mg,Kafrelsheikh University,2024-03-15,2025-03-15,false,https://clinicaltrials.gov/study/NCT07571460,vitamin K antagonist lexical false positive,none,context_only_not_a_screening_decision
RET-A1-CTGOV-NCT01006733,REC-CTGOV-NCT01006733,A1,NCT01006733,Genetics Informatics Trial (GIFT) of Warfarin to Prevent DVT,Genetics Informatics Trial (GIFT) of Warfarin to Prevent Deep Venous Thrombosis (DVT),COMPLETED,INTERVENTIONAL,PHASE3,1598,Thromboembolism,GENETIC:Pharmacogenetic|DRUG:Target INR 1.8,Washington University School of Medicine,2011-03,2016-11,false,https://clinicaltrials.gov/study/NCT01006733,vitamin K antagonist lexical false positive,none,context_only_not_a_screening_decision
RET-A1-CTGOV-NCT00287313,REC-CTGOV-NCT00287313,A1,NCT00287313,Daily Vitamin K in Patients on Warfarin With Unstable INRs,Use of Daily Vitamin K Supplementation in Patients on Warfarin With a History of Frequent Dose Changes or Variable INRs,COMPLETED,INTERVENTIONAL,NA,15,Anticoagulants|Warfarin,DRUG:Vitamin K,"University of North Carolina, Chapel Hill",2005-10,2006-05,false,https://clinicaltrials.gov/study/NCT00287313,vitamin K antagonist lexical false positive,none,context_only_not_a_screening_decision
RET-A1-CTGOV-NCT03085576,REC-CTGOV-NCT03085576,A1,NCT03085576,NATional TUnisian REgistry of Atrial Fibrillation,National Tunisian Registry of Atrial Fibrillation,COMPLETED,OBSERVATIONAL,,910,Atrial Fibrillation,,Dacima Consulting,2017-03-01,2018-07-30,false,https://clinicaltrials.gov/study/NCT03085576,vitamin K antagonist lexical false positive,none,context_only_not_a_screening_decision
RET-A1-CTGOV-NCT02533960,REC-CTGOV-NCT02533960,A1,NCT02533960,Registry of Acute Stroke Under Novel Oral Anticoagulants - Prime,Registry of Acute Stroke Under Novel Oral Anticoagulants - Prime,COMPLETED,OBSERVATIONAL,,3832,Ischemic Stroke|Intracerebral Hemorrhage|Oral Anticoagulation|Cardiovascular Diseases|Vascular Diseases,OTHER:not applicable (observational study),University Hospital Heidelberg,2015-06,2022-06,false,https://clinicaltrials.gov/study/NCT02533960,vitamin K antagonist lexical false positive,none,context_only_not_a_screening_decision
RET-A1-CTGOV-NCT00726726,REC-CTGOV-NCT00726726,A1,NCT00726726,Drug Interaction Study With a Potential Alzheimer's Disease Compound,"Effect of Concomitant Administration of BMS-708163 on the Pharmacokinetics of Midazolam, Warfarin, Caffeine, Omeprazole and Dextromethorphan in Healthy Male Subjects by Administration of a Modified Cooperstown Cocktail",COMPLETED,INTERVENTIONAL,PHASE1,22,Alzheimer Disease,"DRUG:Interacting drugs - Cooperstown Cocktail (midazolam, warfarin, (+ vitamin K), caffeine, omeprazole and dextromethorphan)|DRUG:BMS-708163|DRUG:BMS-708163 + Cooperstown Cocktail",Bristol-Myers Squibb,2008-08,2008-10,false,https://clinicaltrials.gov/study/NCT00726726,vitamin K antagonist lexical false positive,none,context_only_not_a_screening_decision
RET-A1-CTGOV-NCT05515120,REC-CTGOV-NCT05515120,A1,NCT05515120,Rivaroxaban Plus Aspirin to Manage Recurrent Venous Thromboembolic Events,Rivaroxaban Plus Aspirin Versus Acenocoumarol to Manage Recurrent Venous Thromboembolic Events Despite Systemic Anticoagulation With Rivaroxaban,COMPLETED,INTERVENTIONAL,PHASE2|PHASE3,58,Venous Thromboembolism|Anticoagulant-induced Bleeding|Venous Thromboses|Pulmonary Embolism,DRUG:Rivaroxaban 20 MG [Xarelto]|DRUG:Aspirin 300mg|DRUG:Acenocoumarol Oral Tablet,Instituto Mexicano del Seguro Social,2021-01-03,2022-07-01,false,https://clinicaltrials.gov/study/NCT05515120,vitamin K antagonist lexical false positive,none,context_only_not_a_screening_decision
RET-A1-CTGOV-NCT00691470,REC-CTGOV-NCT00691470,A1,NCT00691470,"Comparison of ATI-5923, a Novel Vitamin K Antagonist, With Warfarin in Patients Requiring Chronic Anticoagulation","A Randomized, Double Blind Comparison of ATI-5923, a Novel Vitamin K Antagonist, With Warfarin in Patients Requiring Chronic Anticoagulation",UNKNOWN,INTERVENTIONAL,PHASE2|PHASE3,600,Atrial Fibrillation|Atrial Flutter|Venous Thromboembolic Disease|Myocardial Infarction|Cardiomyopathy,DRUG:ATI-5923|DRUG:Coumadin (warfarin),ARYx Therapeutics,2008-05,2009-06,false,https://clinicaltrials.gov/study/NCT00691470,vitamin K antagonist lexical false positive,none,context_only_not_a_screening_decision
RET-A1-CTGOV-NCT01285661,REC-CTGOV-NCT01285661,A1,NCT01285661,Optimal Duration of Anticoagulation in Deep Venous Thrombosis,Identification of the Optimal Duration of Anticoagulation in Patients With Deep Venous Thrombosis of the Lower Extremities With the Use of Residual Vein Thrombosis in Combination With D-Dimer,COMPLETED,INTERVENTIONAL,PHASE3,584,Deep Vein Thrombosis of Lower Limb|Lower Extremity Deep Venous Thrombosis Recurrent,DRUG:Sodium warfarin,University of Padova,2010-03,2015-10,false,https://clinicaltrials.gov/study/NCT01285661,vitamin K antagonist lexical false positive,none,context_only_not_a_screening_decision
RET-A1-CTGOV-NCT04344717,REC-CTGOV-NCT04344717,A1,NCT04344717,Pharmacokinetics of Apixaban in Patients With Short Bowel Syndrome Requiring Long Term Parenteral Nutrition,Pharmacokinetics of Apixaban in Patients With Short Bowel Syndrome Requiring Long Term Parenteral Nutrition,UNKNOWN,INTERVENTIONAL,PHASE4,84,Short Bowel Syndrome|Anticoagulation,DRUG:Apixaban single dose|DRUG:Apixaban steady-state,Universitaire Ziekenhuizen KU Leuven,2020-12-20,2024-12,false,https://clinicaltrials.gov/study/NCT04344717,vitamin K antagonist lexical false positive,none,context_only_not_a_screening_decision
RET-A1-CTGOV-NCT04569279,REC-CTGOV-NCT04569279,A1,NCT04569279,Rivaroxaban vs. Warfarin in CVT Treatment,Rivaroxaban Compared to Warfarin for Treatment of Cerebral Venous Thrombosis: a Randomized Controlled Trial,COMPLETED,INTERVENTIONAL,PHASE3,71,Cerebral Vein Thrombosis,DRUG:Rivaroxaban|DRUG:Warfarin,Damascus University,2017-09-01,2020-03-01,false,https://clinicaltrials.gov/study/NCT04569279,vitamin K antagonist lexical false positive,none,context_only_not_a_screening_decision
RET-A1-CTGOV-NCT01507051,REC-CTGOV-NCT01507051,A1,NCT01507051,Switching Study From Warfarin to Rivaroxaban,"Randomized, Placebo-controlled, Parallel-group Study in Healthy Male Subjects to Investigate the Pharmacodynamics During the Switching Procedure From Warfarin to Rivaroxaban",COMPLETED,INTERVENTIONAL,PHASE1,96,Venous Thrombosis,"DRUG:Warfarin (Coumadin)|DRUG:Rivaroxaban (Xarelto, BAY59-7939)|DRUG:Placebo|DRUG:Vitamin K (Konakion)",Bayer,2008-11,2009-11,true,https://clinicaltrials.gov/study/NCT01507051,vitamin K antagonist lexical false positive,none,context_only_not_a_screening_decision
RET-A1-CTGOV-NCT02789917,REC-CTGOV-NCT02789917,A1,NCT02789917,APixaban vs. PhenpRocoumon in Patients With ACS and AF: APPROACH-ACS-AF,APixaban Versus PhenpRocoumon: Oral AntiCoagulation Plus Antiplatelet tHerapy in Patients With Acute Coronary Syndrome and Atrial Fibrillation,COMPLETED,INTERVENTIONAL,PHASE4,403,Acute Coronary Syndrome|Atrial Fibrillation|Coronary Artery Disease,OTHER:Dual Therapy|OTHER:Triple Therapy,LMU Klinikum,2016-06,2020-08,false,https://clinicaltrials.gov/study/NCT02789917,vitamin K antagonist lexical false positive,none,context_only_not_a_screening_decision
RET-A1-CTGOV-NCT05643651,REC-CTGOV-NCT05643651,A1,NCT05643651,Rivaroxaban for Children Aged Over 2 Years With Giant Coronary Artery Aneurysms After Kawasaki Disease,"Rivaroxaban Versus Warfarin for Thromboprophylaxis in Children Aged Over 2 Years With Giant Coronary Artery Aneurysms After Kawasaki Disease: a Multicenter, Open-label, Parallel, Exploratory, Randomized Controlled Trial",RECRUITING,INTERVENTIONAL,PHASE4,100,Kawasaki Disease|Coronary Artery Aneurysm,DRUG:Rivaroxaban Oral Tablet [Xarelto]|DRUG:Aspirin or Clopidogrel|DRUG:Warfarin,Children's Hospital of Fudan University,2025-06-01,2027-09-01,false,https://clinicaltrials.gov/study/NCT05643651,vitamin K antagonist lexical false positive,none,context_only_not_a_screening_decision
RET-A1-CTGOV-NCT03977363,REC-CTGOV-NCT03977363,A1,NCT03977363,The Portuguese Survey on Anticoagulated Patients Register (START-Portugal-Register),The Portuguese Survey on Anticoagulated Patients Register (START-Portugal-Register),TERMINATED,OBSERVATIONAL,,25,Atrial Fibrillation|Venous Thromboembolism|Heart Valve Diseases or Prosthesis,DRUG:Anticoagulant drugs,CHAD,2020-01-27,2023-03-02,false,https://clinicaltrials.gov/study/NCT03977363,vitamin K antagonist lexical false positive,none,context_only_not_a_screening_decision
RET-A1-CTGOV-NCT03847181,REC-CTGOV-NCT03847181,A1,NCT03847181,Study to Learn More About the Benefits and Side-effects of Drugs Rivaroxaban and Apixaban Compared to the Drug Warfarin for Stroke Prevention in Patients With Rapid and Irregular Heartbeat Which is Not Due to a Heart-valve Fault (Non-valvular Atrial Fibrillation) in the UK Routine Clinical Practice,Safety and Effectiveness of Rivaroxaban and Apixaban Compared to Warfarin in Non-valvular Atrial Fibrillation Patients in the Routine Clinical Practice in the UK,COMPLETED,OBSERVATIONAL,,45164,Atrial Fibrillation,"DRUG:Rivaroxaban (Xarelto, BAY59-7939)|DRUG:Apixaban (Eliquis)|DRUG:Warfarin",Bayer,2019-02-28,2020-10-31,false,https://clinicaltrials.gov/study/NCT03847181,vitamin K antagonist lexical false positive,none,context_only_not_a_screening_decision
