koreamed_record_id,kmid,pubmed_record_id,pmid,match_basis,human_link_decision,link_reason,verified_by,verified_at,status
REC-KOREAMED-2223678,2223678,REC-PUBMED-26060809,26060809,exact_normalized_title,,,,,candidate_requires_human_review
REC-KOREAMED-2263729,2263729,REC-PUBMED-18273573,18273573,exact_normalized_title,,,,,candidate_requires_human_review
REC-KOREAMED-2263729,2263729,REC-PUBMED-18836647,18836647,exact_normalized_title,,,,,candidate_requires_human_review
REC-KOREAMED-2263729,2263729,REC-PUBMED-24733535,24733535,exact_normalized_title,,,,,candidate_requires_human_review
REC-KOREAMED-2386080,2386080,REC-PUBMED-26566518,26566518,exact_normalized_title,,,,,candidate_requires_human_review
REC-KOREAMED-2383663,2383663,REC-PUBMED-23342320,23342320,exact_normalized_title,,,,,candidate_requires_human_review
REC-KOREAMED-2545685,2545685,REC-PUBMED-37680096,37680096,exact_normalized_title,,,,,candidate_requires_human_review
REC-KOREAMED-1071437,1071437,REC-PUBMED-20635460,20635460,exact_normalized_title,,,,,candidate_requires_human_review
REC-KOREAMED-2535822,2535822,REC-PUBMED-35417935,35417935,exact_normalized_title,,,,,candidate_requires_human_review
REC-KOREAMED-2374082,2374082,REC-PUBMED-26996562,26996562,exact_normalized_title,,,,,candidate_requires_human_review
REC-KOREAMED-2396475,2396475,REC-PUBMED-29171208,29171208,exact_normalized_title,,,,,candidate_requires_human_review
REC-KOREAMED-2414909,2414909,REC-PUBMED-29671285,29671285,exact_normalized_title,,,,,candidate_requires_human_review
REC-KOREAMED-1824947,1824947,REC-PUBMED-24324947,24324947,exact_normalized_title,,,,,candidate_requires_human_review
REC-KOREAMED-2540071,2540071,REC-PUBMED-36710581,36710581,exact_normalized_title,,,,,candidate_requires_human_review
REC-KOREAMED-2424435,2424435,REC-PUBMED-29402070,29402070,exact_normalized_title,,,,,candidate_requires_human_review
REC-KOREAMED-2551951,2551951,REC-PUBMED-36843402,36843402,exact_normalized_title,,,,,candidate_requires_human_review
REC-KOREAMED-1826383,1826383,REC-PUBMED-22396699,22396699,exact_normalized_title,,,,,candidate_requires_human_review
REC-KOREAMED-2368399,2368399,REC-PUBMED-28178413,28178413,exact_normalized_title,,,,,candidate_requires_human_review
REC-KOREAMED-2559774,2559774,REC-PUBMED-39315443,39315443,exact_normalized_title,,,,,candidate_requires_human_review
REC-KOREAMED-2517602,2517602,REC-PUBMED-34237811,34237811,exact_normalized_title,,,,,candidate_requires_human_review
REC-KOREAMED-2377723,2377723,REC-PUBMED-28480651,28480651,exact_normalized_title,,,,,candidate_requires_human_review
REC-KOREAMED-2368397,2368397,REC-PUBMED-28178408,28178408,exact_normalized_title,,,,,candidate_requires_human_review
REC-KOREAMED-2420640,2420640,REC-PUBMED-30238705,30238705,exact_normalized_title,,,,,candidate_requires_human_review
REC-KOREAMED-2447752,2447752,REC-PUBMED-32821695,32821695,exact_normalized_title,,,,,candidate_requires_human_review
REC-KOREAMED-2415445,2415445,REC-PUBMED-29853819,29853819,exact_normalized_title,,,,,candidate_requires_human_review
REC-KOREAMED-2070114,2070114,REC-PUBMED-25045298,25045298,exact_normalized_title,,,,,candidate_requires_human_review
REC-KOREAMED-2508178,2508178,REC-PUBMED-32668522,32668522,exact_normalized_title,,,,,candidate_requires_human_review
REC-KOREAMED-2505374,2505374,REC-PUBMED-32882758,32882758,exact_normalized_title,,,,,candidate_requires_human_review
REC-KOREAMED-2514634,2514634,REC-PUBMED-33821580,33821580,exact_normalized_title,,,,,candidate_requires_human_review
REC-KOREAMED-2515764,2515764,REC-PUBMED-33764010,33764010,exact_normalized_title,,,,,candidate_requires_human_review
REC-KOREAMED-2578062,2578062,REC-PUBMED-40889786,40889786,exact_normalized_title,,,,,candidate_requires_human_review
REC-KOREAMED-2501991,2501991,REC-PUBMED-31014064,31014064,exact_normalized_title,,,,,candidate_requires_human_review
REC-KOREAMED-2563795,2563795,REC-PUBMED-39434362,39434362,exact_normalized_title,,,,,candidate_requires_human_review
REC-KOREAMED-2536731,2536731,REC-PUBMED-36513051,36513051,exact_normalized_title,,,,,candidate_requires_human_review
REC-KOREAMED-2517492,2517492,REC-PUBMED-34227275,34227275,exact_normalized_title,,,,,candidate_requires_human_review
