retrieval_id,record_id,question_id,search_run_id,database,provider_id,status
RET-A1-KOREAMED-2434954,REC-KOREAMED-2434954,A1,koreamed_a1_designpilot_20260710,KoreaMed,2434954,design_pilot_complete_display_native_export_server_error_not_final_search
RET-A1-KOREAMED-2223678,REC-KOREAMED-2223678,A1,koreamed_a1_designpilot_20260710,KoreaMed,2223678,design_pilot_complete_display_native_export_server_error_not_final_search
RET-A1-KOREAMED-2192901,REC-KOREAMED-2192901,A1,koreamed_a1_designpilot_20260710,KoreaMed,2192901,design_pilot_complete_display_native_export_server_error_not_final_search
RET-A1-KOREAMED-2263729,REC-KOREAMED-2263729,A1,koreamed_a1_designpilot_20260710,KoreaMed,2263729,design_pilot_complete_display_native_export_server_error_not_final_search
RET-A1-KOREAMED-2386080,REC-KOREAMED-2386080,A1,koreamed_a1_designpilot_20260710,KoreaMed,2386080,design_pilot_complete_display_native_export_server_error_not_final_search
RET-A1-KOREAMED-2383663,REC-KOREAMED-2383663,A1,koreamed_a1_designpilot_20260710,KoreaMed,2383663,design_pilot_complete_display_native_export_server_error_not_final_search
RET-A1-KOREAMED-2378089,REC-KOREAMED-2378089,A1,koreamed_a1_designpilot_20260710,KoreaMed,2378089,design_pilot_complete_display_native_export_server_error_not_final_search
RET-A1-KOREAMED-2100703,REC-KOREAMED-2100703,A1,koreamed_a1_designpilot_20260710,KoreaMed,2100703,design_pilot_complete_display_native_export_server_error_not_final_search
RET-A1-KOREAMED-2252175,REC-KOREAMED-2252175,A1,koreamed_a1_designpilot_20260710,KoreaMed,2252175,design_pilot_complete_display_native_export_server_error_not_final_search
RET-A1-KOREAMED-2267834,REC-KOREAMED-2267834,A1,koreamed_a1_designpilot_20260710,KoreaMed,2267834,design_pilot_complete_display_native_export_server_error_not_final_search
RET-A1-KOREAMED-2545685,REC-KOREAMED-2545685,A1,koreamed_a1_designpilot_20260710,KoreaMed,2545685,design_pilot_complete_display_native_export_server_error_not_final_search
RET-A1-KOREAMED-2269259,REC-KOREAMED-2269259,A1,koreamed_a1_designpilot_20260710,KoreaMed,2269259,design_pilot_complete_display_native_export_server_error_not_final_search
RET-A1-KOREAMED-1071437,REC-KOREAMED-1071437,A1,koreamed_a1_designpilot_20260710,KoreaMed,1071437,design_pilot_complete_display_native_export_server_error_not_final_search
RET-A1-KOREAMED-2535822,REC-KOREAMED-2535822,A1,koreamed_a1_designpilot_20260710,KoreaMed,2535822,design_pilot_complete_display_native_export_server_error_not_final_search
RET-A1-KOREAMED-2374082,REC-KOREAMED-2374082,A1,koreamed_a1_designpilot_20260710,KoreaMed,2374082,design_pilot_complete_display_native_export_server_error_not_final_search
RET-A1-KOREAMED-2083466,REC-KOREAMED-2083466,A1,koreamed_a1_designpilot_20260710,KoreaMed,2083466,design_pilot_complete_display_native_export_server_error_not_final_search
RET-A1-KOREAMED-2366166,REC-KOREAMED-2366166,A1,koreamed_a1_designpilot_20260710,KoreaMed,2366166,design_pilot_complete_display_native_export_server_error_not_final_search
RET-A1-KOREAMED-1794613,REC-KOREAMED-1794613,A1,koreamed_a1_designpilot_20260710,KoreaMed,1794613,design_pilot_complete_display_native_export_server_error_not_final_search
RET-A1-KOREAMED-2317763,REC-KOREAMED-2317763,A1,koreamed_a1_designpilot_20260710,KoreaMed,2317763,design_pilot_complete_display_native_export_server_error_not_final_search
RET-A1-KOREAMED-2308908,REC-KOREAMED-2308908,A1,koreamed_a1_designpilot_20260710,KoreaMed,2308908,design_pilot_complete_display_native_export_server_error_not_final_search
RET-A1-KOREAMED-2396475,REC-KOREAMED-2396475,A1,koreamed_a1_designpilot_20260710,KoreaMed,2396475,design_pilot_complete_display_native_export_server_error_not_final_search
RET-A1-KOREAMED-2414909,REC-KOREAMED-2414909,A1,koreamed_a1_designpilot_20260710,KoreaMed,2414909,design_pilot_complete_display_native_export_server_error_not_final_search
RET-A1-KOREAMED-1824947,REC-KOREAMED-1824947,A1,koreamed_a1_designpilot_20260710,KoreaMed,1824947,design_pilot_complete_display_native_export_server_error_not_final_search
RET-A1-KOREAMED-2540071,REC-KOREAMED-2540071,A1,koreamed_a1_designpilot_20260710,KoreaMed,2540071,design_pilot_complete_display_native_export_server_error_not_final_search
RET-A1-KOREAMED-2424435,REC-KOREAMED-2424435,A1,koreamed_a1_designpilot_20260710,KoreaMed,2424435,design_pilot_complete_display_native_export_server_error_not_final_search
RET-A1-KOREAMED-2533903,REC-KOREAMED-2533903,A1,koreamed_a1_designpilot_20260710,KoreaMed,2533903,design_pilot_complete_display_native_export_server_error_not_final_search
RET-A1-KOREAMED-2054163,REC-KOREAMED-2054163,A1,koreamed_a1_designpilot_20260710,KoreaMed,2054163,design_pilot_complete_display_native_export_server_error_not_final_search
RET-A1-KOREAMED-2454974,REC-KOREAMED-2454974,A1,koreamed_a1_designpilot_20260710,KoreaMed,2454974,design_pilot_complete_display_native_export_server_error_not_final_search
RET-A1-KOREAMED-2551951,REC-KOREAMED-2551951,A1,koreamed_a1_designpilot_20260710,KoreaMed,2551951,design_pilot_complete_display_native_export_server_error_not_final_search
RET-A1-KOREAMED-2438027,REC-KOREAMED-2438027,A1,koreamed_a1_designpilot_20260710,KoreaMed,2438027,design_pilot_complete_display_native_export_server_error_not_final_search
