record_id,kmid,question_id,title,source_status,reviewer_1_id,reviewer_1_decision,reviewer_2_id,reviewer_2_decision,adjudicator_id,final_decision,notes
REC-KOREAMED-2434954,2434954,A1,Adaptation of New Oral Anticoagulants for Warfarin Anticoagulated Patient with Traumatic Ongoing Hemorrhage,design_pilot_complete_display_native_export_server_error_not_final_search,,,,,,,Awaiting human screening; browser capture is not an eligibility decision.
REC-KOREAMED-2223678,2223678,A1,Paradoxical Procoagulant Effect of Early Doses of Warfarin: Possible Role of Non-Vitamin K Oral Anticoagulant in Patients with Atrial Fibrillation-Related Stroke,design_pilot_complete_display_native_export_server_error_not_final_search,,,,,,,Awaiting human screening; browser capture is not an eligibility decision.
REC-KOREAMED-2192901,2192901,A1,New oral anticoagulants,design_pilot_complete_display_native_export_server_error_not_final_search,,,,,,,Awaiting human screening; browser capture is not an eligibility decision.
REC-KOREAMED-2263729,2263729,A1,Anticoagulation in Atrial Fibrillation,design_pilot_complete_display_native_export_server_error_not_final_search,,,,,,,Awaiting human screening; browser capture is not an eligibility decision.
REC-KOREAMED-2386080,2386080,A1,Association Between Usual Vitamin K Intake and Anticoagulation in Patients Under Warfarin Therapy,design_pilot_complete_display_native_export_server_error_not_final_search,,,,,,,Awaiting human screening; browser capture is not an eligibility decision.
REC-KOREAMED-2383663,2383663,A1,CYP2C9 Mutation Affecting the Individual Variability of Warfarin Dose Requirement,design_pilot_complete_display_native_export_server_error_not_final_search,,,,,,,Awaiting human screening; browser capture is not an eligibility decision.
REC-KOREAMED-2378089,2378089,A1,Rivaroxaban for Thromboprophylaxis in Patients with Antiphospholipid Syndrome,design_pilot_complete_display_native_export_server_error_not_final_search,,,,,,,Awaiting human screening; browser capture is not an eligibility decision.
REC-KOREAMED-2100703,2100703,A1,Warfarin Toxicity Patients in the Emergency Department,design_pilot_complete_display_native_export_server_error_not_final_search,,,,,,,Awaiting human screening; browser capture is not an eligibility decision.
REC-KOREAMED-2252175,2252175,A1,A Case of Superwarfarin Intoxication without a Definitive History of Brodifacoum Exposure,design_pilot_complete_display_native_export_server_error_not_final_search,,,,,,,Awaiting human screening; browser capture is not an eligibility decision.
REC-KOREAMED-2267834,2267834,A1,"A Case of Warfarin-Induced Bleeding in a Patient with CYP2C9 and VKORC1 Gene Polymorphism, Detected by a Point-of-Care Gene Test Device",design_pilot_complete_display_native_export_server_error_not_final_search,,,,,,,Awaiting human screening; browser capture is not an eligibility decision.
REC-KOREAMED-2545685,2545685,A1,Low-dose non-vitamin K antagonist oral anticoagulants in patients with atrial fibrillation,design_pilot_complete_display_native_export_server_error_not_final_search,,,,,,,Awaiting human screening; browser capture is not an eligibility decision.
REC-KOREAMED-2269259,2269259,A1,Application of New Oral Anticoagulants: Prevention of Stroke in Patients with Nonvalvular Atrial Fibrillation,design_pilot_complete_display_native_export_server_error_not_final_search,,,,,,,Awaiting human screening; browser capture is not an eligibility decision.
REC-KOREAMED-1071437,1071437,A1,Interaction between Warfarin and the Herbal Product Shengmai-Yin: A Case Report of Intracerebral Hematoma,design_pilot_complete_display_native_export_server_error_not_final_search,,,,,,,Awaiting human screening; browser capture is not an eligibility decision.
REC-KOREAMED-2535822,2535822,A1,Gastrointestinal bleeding risk of non-vitamin K antagonist oral anticoagulants versus warfarin in general and after polypectomy: a population-based study with propensity score matching analysis,design_pilot_complete_display_native_export_server_error_not_final_search,,,,,,,Awaiting human screening; browser capture is not an eligibility decision.
REC-KOREAMED-2374082,2374082,A1,Development and Comparison of Warfarin Dosing Algorithms in Stroke Patients,design_pilot_complete_display_native_export_server_error_not_final_search,,,,,,,Awaiting human screening; browser capture is not an eligibility decision.
REC-KOREAMED-2083466,2083466,A1,A Case of Soft Tissue Bleeding Due to a Possible Drug Interaction between Warfarin and TS-1,design_pilot_complete_display_native_export_server_error_not_final_search,,,,,,,Awaiting human screening; browser capture is not an eligibility decision.
REC-KOREAMED-2366166,2366166,A1,The Persistence of Non-Vitamin K Antagonist Oral Anticoagulants in Korean Patients with Non-Valvular Atrial Fibrillation,design_pilot_complete_display_native_export_server_error_not_final_search,,,,,,,Awaiting human screening; browser capture is not an eligibility decision.
REC-KOREAMED-1794613,1794613,A1,Extremely Elevated International Normalized Ratio of Warfarin in a Patient with CYP2C9*1/*3 and Thyrotoxicosis,design_pilot_complete_display_native_export_server_error_not_final_search,,,,,,,Awaiting human screening; browser capture is not an eligibility decision.
REC-KOREAMED-2317763,2317763,A1,Sudden Hemiplegia by Epidural Hematoma in a Patient Treated with Warfarin and Therapeutic Range International Normalized Ratio,design_pilot_complete_display_native_export_server_error_not_final_search,,,,,,,Awaiting human screening; browser capture is not an eligibility decision.
REC-KOREAMED-2308908,2308908,A1,Use of NOAC in Cardioversion,design_pilot_complete_display_native_export_server_error_not_final_search,,,,,,,Awaiting human screening; browser capture is not an eligibility decision.
