record_id,kmid,question_id,title,koreamed_url,pubmed_candidate_count,candidate_pmids,candidate_pubmed_titles,candidate_pubmed_raw_files,native_export_status,decision_authority,status
REC-KOREAMED-2434954,2434954,A1,Adaptation of New Oral Anticoagulants for Warfarin Anticoagulated Patient with Traumatic Ongoing Hemorrhage,https://www.koreamed.org/SearchBasic.php?RID=2434954,0,,,,design_pilot_complete_display_native_export_server_error_not_final_search,none,context_only_not_a_screening_or_linkage_decision
REC-KOREAMED-2223678,2223678,A1,Paradoxical Procoagulant Effect of Early Doses of Warfarin: Possible Role of Non-Vitamin K Oral Anticoagulant in Patients with Atrial Fibrillation-Related Stroke,https://www.koreamed.org/SearchBasic.php?RID=2223678,1,26060809,Paradoxical Procoagulant Effect of Early Doses of Warfarin: Possible Role of Non-Vitamin K Oral Anticoagulant in Patients with Atrial Fibrillation-Related Stroke.,research/searches/A1/pubmed/pubmed_a1_designpilot_20260710/efetch_029.xml,design_pilot_complete_display_native_export_server_error_not_final_search,none,context_only_not_a_screening_or_linkage_decision
REC-KOREAMED-2192901,2192901,A1,New oral anticoagulants,https://www.koreamed.org/SearchBasic.php?RID=2192901,0,,,,design_pilot_complete_display_native_export_server_error_not_final_search,none,context_only_not_a_screening_or_linkage_decision
REC-KOREAMED-2263729,2263729,A1,Anticoagulation in Atrial Fibrillation,https://www.koreamed.org/SearchBasic.php?RID=2263729,3,18273573|18836647|24733535,[Anticoagulation in atrial fibrillation]. || [Anticoagulation in atrial fibrillation]. || Anticoagulation in atrial fibrillation.,research/searches/A1/pubmed/pubmed_a1_designpilot_20260710/efetch_008.xml|research/searches/A1/pubmed/pubmed_a1_designpilot_20260710/efetch_007.xml|research/searches/A1/pubmed/pubmed_a1_designpilot_20260710/efetch_033.xml,design_pilot_complete_display_native_export_server_error_not_final_search,none,context_only_not_a_screening_or_linkage_decision
REC-KOREAMED-2386080,2386080,A1,Association Between Usual Vitamin K Intake and Anticoagulation in Patients Under Warfarin Therapy,https://www.koreamed.org/SearchBasic.php?RID=2386080,1,26566518,Association Between Usual Vitamin K Intake and Anticoagulation in Patients Under Warfarin Therapy.,research/searches/A1/pubmed/pubmed_a1_designpilot_20260710/efetch_028.xml,design_pilot_complete_display_native_export_server_error_not_final_search,none,context_only_not_a_screening_or_linkage_decision
REC-KOREAMED-2383663,2383663,A1,CYP2C9 Mutation Affecting the Individual Variability of Warfarin Dose Requirement,https://www.koreamed.org/SearchBasic.php?RID=2383663,1,23342320,CYP2C9 Mutation Affecting the Individual Variability of Warfarin Dose Requirement.,research/searches/A1/pubmed/pubmed_a1_designpilot_20260710/efetch_036.xml,design_pilot_complete_display_native_export_server_error_not_final_search,none,context_only_not_a_screening_or_linkage_decision
REC-KOREAMED-2378089,2378089,A1,Rivaroxaban for Thromboprophylaxis in Patients with Antiphospholipid Syndrome,https://www.koreamed.org/SearchBasic.php?RID=2378089,0,,,,design_pilot_complete_display_native_export_server_error_not_final_search,none,context_only_not_a_screening_or_linkage_decision
REC-KOREAMED-2100703,2100703,A1,Warfarin Toxicity Patients in the Emergency Department,https://www.koreamed.org/SearchBasic.php?RID=2100703,0,,,,design_pilot_complete_display_native_export_server_error_not_final_search,none,context_only_not_a_screening_or_linkage_decision
REC-KOREAMED-2252175,2252175,A1,A Case of Superwarfarin Intoxication without a Definitive History of Brodifacoum Exposure,https://www.koreamed.org/SearchBasic.php?RID=2252175,0,,,,design_pilot_complete_display_native_export_server_error_not_final_search,none,context_only_not_a_screening_or_linkage_decision
REC-KOREAMED-2267834,2267834,A1,"A Case of Warfarin-Induced Bleeding in a Patient with CYP2C9 and VKORC1 Gene Polymorphism, Detected by a Point-of-Care Gene Test Device",https://www.koreamed.org/SearchBasic.php?RID=2267834,0,,,,design_pilot_complete_display_native_export_server_error_not_final_search,none,context_only_not_a_screening_or_linkage_decision
REC-KOREAMED-2545685,2545685,A1,Low-dose non-vitamin K antagonist oral anticoagulants in patients with atrial fibrillation,https://www.koreamed.org/SearchBasic.php?RID=2545685,1,37680096,Low-dose non-vitamin K antagonist oral anticoagulants in patients with atrial fibrillation.,research/searches/A1/pubmed/pubmed_a1_designpilot_20260710/efetch_049.xml,design_pilot_complete_display_native_export_server_error_not_final_search,none,context_only_not_a_screening_or_linkage_decision
REC-KOREAMED-2269259,2269259,A1,Application of New Oral Anticoagulants: Prevention of Stroke in Patients with Nonvalvular Atrial Fibrillation,https://www.koreamed.org/SearchBasic.php?RID=2269259,0,,,,design_pilot_complete_display_native_export_server_error_not_final_search,none,context_only_not_a_screening_or_linkage_decision
REC-KOREAMED-1071437,1071437,A1,Interaction between Warfarin and the Herbal Product Shengmai-Yin: A Case Report of Intracerebral Hematoma,https://www.koreamed.org/SearchBasic.php?RID=1071437,1,20635460,Interaction between warfarin and the herbal product Shengmai-yin: a case report of intracerebral hematoma.,research/searches/A1/pubmed/pubmed_a1_designpilot_20260710/efetch_041.xml,design_pilot_complete_display_native_export_server_error_not_final_search,none,context_only_not_a_screening_or_linkage_decision
REC-KOREAMED-2535822,2535822,A1,Gastrointestinal bleeding risk of non-vitamin K antagonist oral anticoagulants versus warfarin in general and after polypectomy: a population-based study with propensity score matching analysis,https://www.koreamed.org/SearchBasic.php?RID=2535822,1,35417935,Gastrointestinal bleeding risk of non-vitamin K antagonist oral anticoagulants versus warfarin in general and after polypectomy: a population-based study with propensity score matching analysis.,research/searches/A1/pubmed/pubmed_a1_designpilot_20260710/efetch_053.xml,design_pilot_complete_display_native_export_server_error_not_final_search,none,context_only_not_a_screening_or_linkage_decision
REC-KOREAMED-2374082,2374082,A1,Development and Comparison of Warfarin Dosing Algorithms in Stroke Patients,https://www.koreamed.org/SearchBasic.php?RID=2374082,1,26996562,Development and Comparison of Warfarin Dosing Algorithms in Stroke Patients.,research/searches/A1/pubmed/pubmed_a1_designpilot_20260710/efetch_026.xml,design_pilot_complete_display_native_export_server_error_not_final_search,none,context_only_not_a_screening_or_linkage_decision
REC-KOREAMED-2083466,2083466,A1,A Case of Soft Tissue Bleeding Due to a Possible Drug Interaction between Warfarin and TS-1,https://www.koreamed.org/SearchBasic.php?RID=2083466,0,,,,design_pilot_complete_display_native_export_server_error_not_final_search,none,context_only_not_a_screening_or_linkage_decision
REC-KOREAMED-2366166,2366166,A1,The Persistence of Non-Vitamin K Antagonist Oral Anticoagulants in Korean Patients with Non-Valvular Atrial Fibrillation,https://www.koreamed.org/SearchBasic.php?RID=2366166,0,,,,design_pilot_complete_display_native_export_server_error_not_final_search,none,context_only_not_a_screening_or_linkage_decision
REC-KOREAMED-1794613,1794613,A1,Extremely Elevated International Normalized Ratio of Warfarin in a Patient with CYP2C9*1/*3 and Thyrotoxicosis,https://www.koreamed.org/SearchBasic.php?RID=1794613,0,,,,design_pilot_complete_display_native_export_server_error_not_final_search,none,context_only_not_a_screening_or_linkage_decision
