record_id,pmid,pmcid,doi,is_live,release_date,pmc_article_url,locator_status,human_fulltext_verified,human_eligibility_decision,notes
REC-PUBMED-79573,79573,PMC2110145,10.1083/jcb.77.3.752,,,https://pmc.ncbi.nlm.nih.gov/articles/PMC2110145/,public_pmc_identifier_candidate,,,Identifier resolution only; not full-text review or inclusion.
REC-PUBMED-143891,143891,PMC2032203,,,,https://pmc.ncbi.nlm.nih.gov/articles/PMC2032203/,public_pmc_identifier_candidate,,,Identifier resolution only; not full-text review or inclusion.
REC-PUBMED-182721,182721,PMC333209,10.1172/JCI108497,,,https://pmc.ncbi.nlm.nih.gov/articles/PMC333209/,public_pmc_identifier_candidate,,,Identifier resolution only; not full-text review or inclusion.
REC-PUBMED-187621,187621,PMC333327,10.1172/JCI108611,,,https://pmc.ncbi.nlm.nih.gov/articles/PMC333327/,public_pmc_identifier_candidate,,,Identifier resolution only; not full-text review or inclusion.
REC-PUBMED-192763,192763,PMC372282,10.1172/JCI108696,,,https://pmc.ncbi.nlm.nih.gov/articles/PMC372282/,public_pmc_identifier_candidate,,,Identifier resolution only; not full-text review or inclusion.
REC-PUBMED-219035,219035,PMC371957,10.1172/JCI109307,,,https://pmc.ncbi.nlm.nih.gov/articles/PMC371957/,public_pmc_identifier_candidate,,,Identifier resolution only; not full-text review or inclusion.
REC-PUBMED-227925,227925,PMC371260,10.1172/JCI109569,,,https://pmc.ncbi.nlm.nih.gov/articles/PMC371260/,public_pmc_identifier_candidate,,,Identifier resolution only; not full-text review or inclusion.
REC-PUBMED-312811,312811,PMC372108,10.1172/JCI109442,,,https://pmc.ncbi.nlm.nih.gov/articles/PMC372108/,public_pmc_identifier_candidate,,,Identifier resolution only; not full-text review or inclusion.
REC-PUBMED-362722,362722,PMC1238350,,,,https://pmc.ncbi.nlm.nih.gov/articles/PMC1238350/,public_pmc_identifier_candidate,,,Identifier resolution only; not full-text review or inclusion.
REC-PUBMED-402385,402385,PMC333379,10.1172/JCI108657,,,https://pmc.ncbi.nlm.nih.gov/articles/PMC333379/,public_pmc_identifier_candidate,,,Identifier resolution only; not full-text review or inclusion.
REC-PUBMED-488032,488032,PMC1637511,10.1289/ehp.7928155,,,https://pmc.ncbi.nlm.nih.gov/articles/PMC1637511/,public_pmc_identifier_candidate,,,Identifier resolution only; not full-text review or inclusion.
REC-PUBMED-625456,625456,PMC2425027,10.1136/pgmj.54.627.36,,,https://pmc.ncbi.nlm.nih.gov/articles/PMC2425027/,public_pmc_identifier_candidate,,,Identifier resolution only; not full-text review or inclusion.
