retrieval_id,record_id,question_id,search_run_id,database,pmid,raw_file,status
RET-A1-PUBMED-14385406,REC-PUBMED-14385406,A1,pubmed_a1_designpilot_20260710,PubMed,14385406,research/searches/A1/pubmed/pubmed_a1_designpilot_20260710/efetch_001.xml,design_pilot_not_final_search
RET-A1-PUBMED-13337092,REC-PUBMED-13337092,A1,pubmed_a1_designpilot_20260710,PubMed,13337092,research/searches/A1/pubmed/pubmed_a1_designpilot_20260710/efetch_001.xml,design_pilot_not_final_search
RET-A1-PUBMED-13298574,REC-PUBMED-13298574,A1,pubmed_a1_designpilot_20260710,PubMed,13298574,research/searches/A1/pubmed/pubmed_a1_designpilot_20260710/efetch_001.xml,design_pilot_not_final_search
RET-A1-PUBMED-13224522,REC-PUBMED-13224522,A1,pubmed_a1_designpilot_20260710,PubMed,13224522,research/searches/A1/pubmed/pubmed_a1_designpilot_20260710/efetch_001.xml,design_pilot_not_final_search
RET-A1-PUBMED-13116139,REC-PUBMED-13116139,A1,pubmed_a1_designpilot_20260710,PubMed,13116139,research/searches/A1/pubmed/pubmed_a1_designpilot_20260710/efetch_001.xml,design_pilot_not_final_search
RET-A1-PUBMED-13066148,REC-PUBMED-13066148,A1,pubmed_a1_designpilot_20260710,PubMed,13066148,research/searches/A1/pubmed/pubmed_a1_designpilot_20260710/efetch_001.xml,design_pilot_not_final_search
RET-A1-PUBMED-13105996,REC-PUBMED-13105996,A1,pubmed_a1_designpilot_20260710,PubMed,13105996,research/searches/A1/pubmed/pubmed_a1_designpilot_20260710/efetch_001.xml,design_pilot_not_final_search
RET-A1-PUBMED-13128723,REC-PUBMED-13128723,A1,pubmed_a1_designpilot_20260710,PubMed,13128723,research/searches/A1/pubmed/pubmed_a1_designpilot_20260710/efetch_001.xml,design_pilot_not_final_search
RET-A1-PUBMED-13048309,REC-PUBMED-13048309,A1,pubmed_a1_designpilot_20260710,PubMed,13048309,research/searches/A1/pubmed/pubmed_a1_designpilot_20260710/efetch_001.xml,design_pilot_not_final_search
RET-A1-PUBMED-14870402,REC-PUBMED-14870402,A1,pubmed_a1_designpilot_20260710,PubMed,14870402,research/searches/A1/pubmed/pubmed_a1_designpilot_20260710/efetch_001.xml,design_pilot_not_final_search
RET-A1-PUBMED-14783910,REC-PUBMED-14783910,A1,pubmed_a1_designpilot_20260710,PubMed,14783910,research/searches/A1/pubmed/pubmed_a1_designpilot_20260710/efetch_001.xml,design_pilot_not_final_search
RET-A1-PUBMED-5362918,REC-PUBMED-5362918,A1,pubmed_a1_designpilot_20260710,PubMed,5362918,research/searches/A1/pubmed/pubmed_a1_designpilot_20260710/efetch_001.xml,design_pilot_not_final_search
