link_candidate_id,registry_record_id,nct_id,pubmed_record_id,pmid,reference_type,linkage_status
LINK-CTGOV-NCT00070655-PMID-18294998,REC-CTGOV-NCT00070655,NCT00070655,REC-PUBMED-18294998,18294998,DERIVED,needs_human_report_study_review
LINK-CTGOV-NCT00070655-PMID-19348685,REC-CTGOV-NCT00070655,NCT00070655,REC-PUBMED-19348685,19348685,DERIVED,needs_human_report_study_review
LINK-CTGOV-NCT00070655-PMID-34320504,REC-CTGOV-NCT00070655,NCT00070655,REC-PUBMED-34320504,34320504,DERIVED,needs_human_report_study_review
LINK-CTGOV-NCT00120731-PMID-12549788,REC-CTGOV-NCT00120731,NCT00120731,REC-PUBMED-12549788,12549788,BACKGROUND,needs_human_report_study_review
LINK-CTGOV-NCT00143715-PMID-10073841,REC-CTGOV-NCT00143715,NCT00143715,REC-PUBMED-10073841,10073841,BACKGROUND,needs_human_report_study_review
LINK-CTGOV-NCT00143715-PMID-10597763,REC-CTGOV-NCT00143715,NCT00143715,REC-PUBMED-10597763,10597763,BACKGROUND,needs_human_report_study_review
LINK-CTGOV-NCT00143715-PMID-10847254,REC-CTGOV-NCT00143715,NCT00143715,REC-PUBMED-10847254,10847254,BACKGROUND,needs_human_report_study_review
LINK-CTGOV-NCT00143715-PMID-10908494,REC-CTGOV-NCT00143715,NCT00143715,REC-PUBMED-10908494,10908494,BACKGROUND,needs_human_report_study_review
LINK-CTGOV-NCT00143715-PMID-11075768,REC-CTGOV-NCT00143715,NCT00143715,REC-PUBMED-11075768,11075768,BACKGROUND,needs_human_report_study_review
LINK-CTGOV-NCT00143715-PMID-11279741,REC-CTGOV-NCT00143715,NCT00143715,REC-PUBMED-11279741,11279741,BACKGROUND,needs_human_report_study_review
LINK-CTGOV-NCT00143715-PMID-11560452,REC-CTGOV-NCT00143715,NCT00143715,REC-PUBMED-11560452,11560452,BACKGROUND,needs_human_report_study_review
LINK-CTGOV-NCT00143715-PMID-11706908,REC-CTGOV-NCT00143715,NCT00143715,REC-PUBMED-11706908,11706908,BACKGROUND,needs_human_report_study_review
LINK-CTGOV-NCT00143715-PMID-11722425,REC-CTGOV-NCT00143715,NCT00143715,REC-PUBMED-11722425,11722425,BACKGROUND,needs_human_report_study_review
LINK-CTGOV-NCT00143715-PMID-12133163,REC-CTGOV-NCT00143715,NCT00143715,REC-PUBMED-12133163,12133163,BACKGROUND,needs_human_report_study_review
LINK-CTGOV-NCT00143715-PMID-12152676,REC-CTGOV-NCT00143715,NCT00143715,REC-PUBMED-12152676,12152676,BACKGROUND,needs_human_report_study_review
LINK-CTGOV-NCT00143715-PMID-12186515,REC-CTGOV-NCT00143715,NCT00143715,REC-PUBMED-12186515,12186515,BACKGROUND,needs_human_report_study_review
LINK-CTGOV-NCT00143715-PMID-12196089,REC-CTGOV-NCT00143715,NCT00143715,REC-PUBMED-12196089,12196089,BACKGROUND,needs_human_report_study_review
LINK-CTGOV-NCT00143715-PMID-12424167,REC-CTGOV-NCT00143715,NCT00143715,REC-PUBMED-12424167,12424167,BACKGROUND,needs_human_report_study_review
LINK-CTGOV-NCT00143715-PMID-12557411,REC-CTGOV-NCT00143715,NCT00143715,REC-PUBMED-12557411,12557411,BACKGROUND,needs_human_report_study_review
LINK-CTGOV-NCT00143715-PMID-14993179,REC-CTGOV-NCT00143715,NCT00143715,REC-PUBMED-14993179,14993179,BACKGROUND,needs_human_report_study_review
LINK-CTGOV-NCT00143715-PMID-2757055,REC-CTGOV-NCT00143715,NCT00143715,REC-PUBMED-2757055,2757055,BACKGROUND,needs_human_report_study_review
LINK-CTGOV-NCT00143715-PMID-2787958,REC-CTGOV-NCT00143715,NCT00143715,REC-PUBMED-2787958,2787958,BACKGROUND,needs_human_report_study_review
LINK-CTGOV-NCT00143715-PMID-8239230,REC-CTGOV-NCT00143715,NCT00143715,REC-PUBMED-8239230,8239230,BACKGROUND,needs_human_report_study_review
LINK-CTGOV-NCT00143715-PMID-8368229,REC-CTGOV-NCT00143715,NCT00143715,REC-PUBMED-8368229,8368229,BACKGROUND,needs_human_report_study_review
LINK-CTGOV-NCT00143715-PMID-9508231,REC-CTGOV-NCT00143715,NCT00143715,REC-PUBMED-9508231,9508231,BACKGROUND,needs_human_report_study_review
LINK-CTGOV-NCT00143715-PMID-9657434,REC-CTGOV-NCT00143715,NCT00143715,REC-PUBMED-9657434,9657434,BACKGROUND,needs_human_report_study_review
LINK-CTGOV-NCT00232232-PMID-21232631,REC-CTGOV-NCT00232232,NCT00232232,REC-PUBMED-21232631,21232631,DERIVED,needs_human_report_study_review
LINK-CTGOV-NCT00232245-PMID-23890856,REC-CTGOV-NCT00232245,NCT00232245,REC-PUBMED-23890856,23890856,DERIVED,needs_human_report_study_review
LINK-CTGOV-NCT00264277-PMID-11848459,REC-CTGOV-NCT00264277,NCT00264277,REC-PUBMED-11848459,11848459,BACKGROUND,needs_human_report_study_review
LINK-CTGOV-NCT00264277-PMID-12847064,REC-CTGOV-NCT00264277,NCT00264277,REC-PUBMED-12847064,12847064,BACKGROUND,needs_human_report_study_review
LINK-CTGOV-NCT00264277-PMID-12941680,REC-CTGOV-NCT00264277,NCT00264277,REC-PUBMED-12941680,12941680,BACKGROUND,needs_human_report_study_review
LINK-CTGOV-NCT00264277-PMID-17065639,REC-CTGOV-NCT00264277,NCT00264277,REC-PUBMED-17065639,17065639,RESULT,needs_human_report_study_review
LINK-CTGOV-NCT00264277-PMID-20352167,REC-CTGOV-NCT00264277,NCT00264277,REC-PUBMED-20352167,20352167,DERIVED,needs_human_report_study_review
LINK-CTGOV-NCT00264277-PMID-20553388,REC-CTGOV-NCT00264277,NCT00264277,REC-PUBMED-20553388,20553388,DERIVED,needs_human_report_study_review
