report_id,record_id,study_id,report_type,linkage_evidence,status
RPT-PUBMED-946,REC-PUBMED-946,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-11224,REC-PUBMED-11224,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-12770,REC-PUBMED-12770,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-13357,REC-PUBMED-13357,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-16359,REC-PUBMED-16359,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-35048,REC-PUBMED-35048,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-35760,REC-PUBMED-35760,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-36161,REC-PUBMED-36161,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-37442,REC-PUBMED-37442,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-38329,REC-PUBMED-38329,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-50323,REC-PUBMED-50323,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-51451,REC-PUBMED-51451,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-52345,REC-PUBMED-52345,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-52757,REC-PUBMED-52757,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-54416,REC-PUBMED-54416,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-54676,REC-PUBMED-54676,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-54776,REC-PUBMED-54776,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-72183,REC-PUBMED-72183,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-76356,REC-PUBMED-76356,,bibliographic_record,PMID exact,needs_human_study_linkage
