batch_id,batch_sequence,record_id,question_id,queue_id,proxy_disagreement,proxy_priority_band,decision_authority,status
PUBMED-SCREEN-001,1,REC-PUBMED-10077437,A1,SCR-A1-10077437,True,high,none,awaiting_external_human_screening
PUBMED-SCREEN-001,2,REC-PUBMED-10217316,A1,SCR-A1-10217316,True,high,none,awaiting_external_human_screening
PUBMED-SCREEN-001,3,REC-PUBMED-1032634,A1,SCR-A1-1032634,True,high,none,awaiting_external_human_screening
PUBMED-SCREEN-001,4,REC-PUBMED-10352110,A1,SCR-A1-10352110,True,high,none,awaiting_external_human_screening
PUBMED-SCREEN-001,5,REC-PUBMED-10410814,A1,SCR-A1-10410814,True,high,none,awaiting_external_human_screening
PUBMED-SCREEN-001,6,REC-PUBMED-10470180,A1,SCR-A1-10470180,True,high,none,awaiting_external_human_screening
PUBMED-SCREEN-001,7,REC-PUBMED-105006,A1,SCR-A1-105006,True,high,none,awaiting_external_human_screening
PUBMED-SCREEN-001,8,REC-PUBMED-10501114,A1,SCR-A1-10501114,True,high,none,awaiting_external_human_screening
PUBMED-SCREEN-001,9,REC-PUBMED-10518409,A1,SCR-A1-10518409,True,high,none,awaiting_external_human_screening
PUBMED-SCREEN-001,10,REC-PUBMED-10520763,A1,SCR-A1-10520763,True,high,none,awaiting_external_human_screening
PUBMED-SCREEN-001,11,REC-PUBMED-10535755,A1,SCR-A1-10535755,True,high,none,awaiting_external_human_screening
PUBMED-SCREEN-001,12,REC-PUBMED-10554088,A1,SCR-A1-10554088,True,high,none,awaiting_external_human_screening
PUBMED-SCREEN-001,13,REC-PUBMED-10569955,A1,SCR-A1-10569955,True,high,none,awaiting_external_human_screening
PUBMED-SCREEN-001,14,REC-PUBMED-10574586,A1,SCR-A1-10574586,True,high,none,awaiting_external_human_screening
PUBMED-SCREEN-001,15,REC-PUBMED-10575549,A1,SCR-A1-10575549,True,high,none,awaiting_external_human_screening
PUBMED-SCREEN-001,16,REC-PUBMED-10579728,A1,SCR-A1-10579728,True,high,none,awaiting_external_human_screening
PUBMED-SCREEN-001,17,REC-PUBMED-10589688,A1,SCR-A1-10589688,True,high,none,awaiting_external_human_screening
PUBMED-SCREEN-001,18,REC-PUBMED-10613667,A1,SCR-A1-10613667,True,high,none,awaiting_external_human_screening
PUBMED-SCREEN-001,19,REC-PUBMED-10669626,A1,SCR-A1-10669626,True,high,none,awaiting_external_human_screening
PUBMED-SCREEN-001,20,REC-PUBMED-10688334,A1,SCR-A1-10688334,True,high,none,awaiting_external_human_screening
PUBMED-SCREEN-001,21,REC-PUBMED-10697390,A1,SCR-A1-10697390,True,high,none,awaiting_external_human_screening
PUBMED-SCREEN-001,22,REC-PUBMED-10706868,A1,SCR-A1-10706868,True,high,none,awaiting_external_human_screening
PUBMED-SCREEN-001,23,REC-PUBMED-10718864,A1,SCR-A1-10718864,True,high,none,awaiting_external_human_screening
PUBMED-SCREEN-001,24,REC-PUBMED-10737225,A1,SCR-A1-10737225,True,high,none,awaiting_external_human_screening
PUBMED-SCREEN-001,25,REC-PUBMED-10739399,A1,SCR-A1-10739399,True,high,none,awaiting_external_human_screening
PUBMED-SCREEN-001,26,REC-PUBMED-10746168,A1,SCR-A1-10746168,True,high,none,awaiting_external_human_screening
PUBMED-SCREEN-001,27,REC-PUBMED-10773499,A1,SCR-A1-10773499,True,high,none,awaiting_external_human_screening
PUBMED-SCREEN-001,28,REC-PUBMED-10804016,A1,SCR-A1-10804016,True,high,none,awaiting_external_human_screening
PUBMED-SCREEN-001,29,REC-PUBMED-10806559,A1,SCR-A1-10806559,True,high,none,awaiting_external_human_screening
PUBMED-SCREEN-001,30,REC-PUBMED-10917896,A1,SCR-A1-10917896,True,high,none,awaiting_external_human_screening
