record_id,report_id,question_ids,screening_stage,reviewer_id,decision,primary_reason_code,secondary_reason_notes,evidence_layer_candidate,ai_priority_score,ai_recommendation,ai_run_id,reviewed_at,adjudication_status,final_decision,final_reason_code,adjudicator_id,notes
REC-PUBMED-14385406,,A1,title_abstract,,,,,,,,,,not_started,,,,awaiting independent human primary screening
REC-PUBMED-13337092,,A1,title_abstract,,,,,,,,,,not_started,,,,awaiting independent human primary screening
REC-PUBMED-13298574,,A1,title_abstract,,,,,,,,,,not_started,,,,awaiting independent human primary screening
REC-PUBMED-13224522,,A1,title_abstract,,,,,,,,,,not_started,,,,awaiting independent human primary screening
REC-PUBMED-13116139,,A1,title_abstract,,,,,,,,,,not_started,,,,awaiting independent human primary screening
REC-PUBMED-13066148,,A1,title_abstract,,,,,,,,,,not_started,,,,awaiting independent human primary screening
REC-PUBMED-13105996,,A1,title_abstract,,,,,,,,,,not_started,,,,awaiting independent human primary screening
REC-PUBMED-13128723,,A1,title_abstract,,,,,,,,,,not_started,,,,awaiting independent human primary screening
REC-PUBMED-13048309,,A1,title_abstract,,,,,,,,,,not_started,,,,awaiting independent human primary screening
REC-PUBMED-14870402,,A1,title_abstract,,,,,,,,,,not_started,,,,awaiting independent human primary screening
REC-PUBMED-14783910,,A1,title_abstract,,,,,,,,,,not_started,,,,awaiting independent human primary screening
REC-PUBMED-5362918,,A1,title_abstract,,,,,,,,,,not_started,,,,awaiting independent human primary screening
REC-PUBMED-5361017,,A1,title_abstract,,,,,,,,,,not_started,,,,awaiting independent human primary screening
REC-PUBMED-5365412,,A1,title_abstract,,,,,,,,,,not_started,,,,awaiting independent human primary screening
REC-PUBMED-5355100,,A1,title_abstract,,,,,,,,,,not_started,,,,awaiting independent human primary screening
REC-PUBMED-5346294,,A1,title_abstract,,,,,,,,,,not_started,,,,awaiting independent human primary screening
REC-PUBMED-5824124,,A1,title_abstract,,,,,,,,,,not_started,,,,awaiting independent human primary screening
REC-PUBMED-5383703,,A1,title_abstract,,,,,,,,,,not_started,,,,awaiting independent human primary screening
REC-PUBMED-4901122,,A1,title_abstract,,,,,,,,,,not_started,,,,awaiting independent human primary screening
REC-PUBMED-5821023,,A1,title_abstract,,,,,,,,,,not_started,,,,awaiting independent human primary screening
REC-PUBMED-5819910,,A1,title_abstract,,,,,,,,,,not_started,,,,awaiting independent human primary screening
REC-PUBMED-4897771,,A1,title_abstract,,,,,,,,,,not_started,,,,awaiting independent human primary screening
REC-PUBMED-5769055,,A1,title_abstract,,,,,,,,,,not_started,,,,awaiting independent human primary screening
REC-PUBMED-5774189,,A1,title_abstract,,,,,,,,,,not_started,,,,awaiting independent human primary screening
REC-PUBMED-5762156,,A1,title_abstract,,,,,,,,,,not_started,,,,awaiting independent human primary screening
REC-PUBMED-5751635,,A1,title_abstract,,,,,,,,,,not_started,,,,awaiting independent human primary screening
REC-PUBMED-5708893,,A1,title_abstract,,,,,,,,,,not_started,,,,awaiting independent human primary screening
REC-PUBMED-4974442,,A1,title_abstract,,,,,,,,,,not_started,,,,awaiting independent human primary screening
REC-PUBMED-5708144,,A1,title_abstract,,,,,,,,,,not_started,,,,awaiting independent human primary screening
REC-PUBMED-4189970,,A1,title_abstract,,,,,,,,,,not_started,,,,awaiting independent human primary screening
