pilot_id,record_id,question_id,reviewer_1,reviewer_2,adjudicator,status
PILOT-A1-3667614,REC-PUBMED-3667614,A1,,,,awaiting_human_training
PILOT-A1-41858949,REC-PUBMED-41858949,A1,,,,awaiting_human_training
PILOT-A1-30197503,REC-PUBMED-30197503,A1,,,,awaiting_human_training
PILOT-A1-19069171,REC-PUBMED-19069171,A1,,,,awaiting_human_training
PILOT-A1-32300863,REC-PUBMED-32300863,A1,,,,awaiting_human_training
PILOT-A1-33361315,REC-PUBMED-33361315,A1,,,,awaiting_human_training
PILOT-A1-29531758,REC-PUBMED-29531758,A1,,,,awaiting_human_training
PILOT-A1-28276631,REC-PUBMED-28276631,A1,,,,awaiting_human_training
PILOT-A1-25760874,REC-PUBMED-25760874,A1,,,,awaiting_human_training
PILOT-A1-41459663,REC-PUBMED-41459663,A1,,,,awaiting_human_training
PILOT-A2-30900220,REC-PUBMED-30900220,A2,,,,awaiting_human_training
PILOT-A2-29299477,REC-PUBMED-29299477,A2,,,,awaiting_human_training
PILOT-A2-21329945,REC-PUBMED-21329945,A2,,,,awaiting_human_training
PILOT-A2-35652869,REC-PUBMED-35652869,A2,,,,awaiting_human_training
PILOT-A2-2436331,REC-PUBMED-2436331,A2,,,,awaiting_human_training
PILOT-A2-33522466,REC-PUBMED-33522466,A2,,,,awaiting_human_training
PILOT-A2-33030231,REC-PUBMED-33030231,A2,,,,awaiting_human_training
PILOT-A2-42263055,REC-PUBMED-42263055,A2,,,,awaiting_human_training
PILOT-A2-34926017,REC-PUBMED-34926017,A2,,,,awaiting_human_training
PILOT-A2-27979927,REC-PUBMED-27979927,A2,,,,awaiting_human_training
PILOT-B1-21289325,REC-PUBMED-21289325,B1,,,,awaiting_human_training
PILOT-B1-15725936,REC-PUBMED-15725936,B1,,,,awaiting_human_training
PILOT-B1-3533640,REC-PUBMED-3533640,B1,,,,awaiting_human_training
PILOT-B1-32266417,REC-PUBMED-32266417,B1,,,,awaiting_human_training
PILOT-B1-18689658,REC-PUBMED-18689658,B1,,,,awaiting_human_training
PILOT-B1-15780355,REC-PUBMED-15780355,B1,,,,awaiting_human_training
PILOT-B1-20678047,REC-PUBMED-20678047,B1,,,,awaiting_human_training
PILOT-B1-1804876,REC-PUBMED-1804876,B1,,,,awaiting_human_training
PILOT-B1-11215221,REC-PUBMED-11215221,B1,,,,awaiting_human_training
PILOT-B1-7179614,REC-PUBMED-7179614,B1,,,,awaiting_human_training
PILOT-B2-2325573,REC-PUBMED-2325573,B2,,,,awaiting_human_training
PILOT-B2-6401203,REC-PUBMED-6401203,B2,,,,awaiting_human_training
PILOT-B2-37228984,REC-PUBMED-37228984,B2,,,,awaiting_human_training
PILOT-B2-35351141,REC-PUBMED-35351141,B2,,,,awaiting_human_training
PILOT-B2-31581312,REC-PUBMED-31581312,B2,,,,awaiting_human_training
PILOT-B2-38922369,REC-PUBMED-38922369,B2,,,,awaiting_human_training
PILOT-B2-15827271,REC-PUBMED-15827271,B2,,,,awaiting_human_training
PILOT-B2-11857922,REC-PUBMED-11857922,B2,,,,awaiting_human_training
PILOT-B2-6548209,REC-PUBMED-6548209,B2,,,,awaiting_human_training
PILOT-B2-3306315,REC-PUBMED-3306315,B2,,,,awaiting_human_training
PILOT-B3-2628785,REC-PUBMED-2628785,B3,,,,awaiting_human_training
PILOT-B3-28215360,REC-PUBMED-28215360,B3,,,,awaiting_human_training
PILOT-B3-33668681,REC-PUBMED-33668681,B3,,,,awaiting_human_training
PILOT-B3-19068782,REC-PUBMED-19068782,B3,,,,awaiting_human_training
PILOT-B3-12824256,REC-PUBMED-12824256,B3,,,,awaiting_human_training
PILOT-B3-30039387,REC-PUBMED-30039387,B3,,,,awaiting_human_training
PILOT-B3-1157307,REC-PUBMED-1157307,B3,,,,awaiting_human_training
PILOT-B3-946,REC-PUBMED-946,B3,,,,awaiting_human_training
PILOT-B3-15769175,REC-PUBMED-15769175,B3,,,,awaiting_human_training
PILOT-B3-15177102,REC-PUBMED-15177102,B3,,,,awaiting_human_training
