source,target_id,rank,provider_id,pmid,doi,year,journal,title,url,study
europe_pmc,anticoag_secondary,1,41854610,41854610,10.1001/jamanetworkopen.2026.2627,2026,JAMA Netw Open,Warfarin Patient Self-Management in the US Health Care System: A Nonrandomized Clinical Trial.,https://europepmc.org/article/MED/41854610,yeohj_anticoag_renal
europe_pmc,anticoag_secondary,2,41928303,41928303,10.1186/s13256-026-05991-3,2026,J Med Case Rep,Critical uterine bleeding after miscarriage in a warfarin-anticoagulated patient with mechanical heart valve: a case report.,https://europepmc.org/article/MED/41928303,yeohj_anticoag_renal
europe_pmc,anticoag_secondary,3,41970785,41970785,10.13107/jocr.2026.v16.i04.7034,2026,J Orthop Case Rep,Warfarin-associated Spontaneous Hemorrhage from the Lateral Pectoral Artery after Reverse Total Shoulder Arthroplasty: A Case Report.,https://europepmc.org/article/MED/41970785,yeohj_anticoag_renal
europe_pmc,anticoag_secondary,4,41994394,41994394,10.12669/pjms.42.3.14504,2026,Pak J Med Sci,Efficacy and safety of different intensities of anticoagulation with warfarin in elderly patients with non-valvular atrial fibrillation.,https://europepmc.org/article/MED/41994394,yeohj_anticoag_renal
europe_pmc,anticoag_secondary,5,42136139,42136139,10.1002/phar.70154,2026,Pharmacotherapy,Cost-Effectiveness Analysis of Patient Self-Management of Warfarin Among Patients With Non-Valvular Atrial Fibrillation.,https://europepmc.org/article/MED/42136139,yeohj_anticoag_renal
europe_pmc,anticoag_secondary,6,41988320,41988320,10.21037/jtd-2025-aw-2029,2026,J Thorac Dis,Perioperative anticoagulation management in patients with left ventricular assist devices undergoing elective non-cardiac surgery: a retrospective study of bleeding and thrombosis.,https://europepmc.org/article/MED/41988320,yeohj_anticoag_renal
europe_pmc,anticoag_secondary,7,41994589,41994589,10.2147/ijgm.s568871,2026,Int J Gen Med,Determinants of Suboptimal INR Control in Eritrean Post-Cardiac Surgery Patients: Insights from a Low-Resource Setting.,https://europepmc.org/article/MED/41994589,yeohj_anticoag_renal
europe_pmc,anticoag_secondary,8,42152071,42152071,10.1186/s12959-026-00865-6,2026,Thromb J,Pooled estimate of anticoagulation control with warfarin therapy among adult patients in Ethiopia: a systematic review and meta-analysis.,https://europepmc.org/article/MED/42152071,yeohj_anticoag_renal
europe_pmc,anticoag_secondary,9,41663175,41663175,10.1136/bmjopen-2025-105575,2026,BMJ Open,"Evaluation of a pharmacist-led patient-self-testing model for warfarin management in patients undergoing mechanical heart valve replacement in China: a multicentre, open-label, randomised, controlled trial.",https://europepmc.org/article/MED/41663175,yeohj_anticoag_renal
europe_pmc,anticoag_secondary,10,PMC13200797,,,,Cureus,Anticoagulation Pauses and Anesthetic Options: A Case for Multidisciplinary Harmonization,,yeohj_anticoag_renal
europe_pmc,anticoag_secondary,11,41913831,41913831,10.7759/cureus.104354,2026,Cureus,Delayed Port-Site Hematoma Following Robot-Assisted Hysterectomy Using the Hinotori Surgical Robot System in an Anticoagulated Patient With Cardiovascular Comorbidities: A Case Report.,https://europepmc.org/article/MED/41913831,yeohj_anticoag_renal
europe_pmc,anticoag_secondary,12,41525219,41525219,10.1177/10760296251410932,2026,Clin Appl Thromb Hemost,Narrative Review of Management Strategies and Risk Mitigation for Gastrointestinal Bleeding in Atrial Fibrillation Patients Receiving Warfarin.,https://europepmc.org/article/MED/41525219,yeohj_anticoag_renal
europe_pmc,anticoag_secondary,13,PMC13093300,,,2026,Clin Case Rep,Influence of Serum Carbamazepine Concentration on the Anticoagulant Effect of Warfarin in a Pediatric Case: Effects of Carbamazepine Tapering and Discontinuation During Concomitant Sodium Valproate Therapy,,yeohj_anticoag_renal
europe_pmc,anticoag_secondary,14,PMC12932981,,,2026,JACC Case Rep,Managing a Pregnant Patient With a Mechanical Heart Valve and Subchorionic Hematomas,,yeohj_anticoag_renal
europe_pmc,anticoag_secondary,15,41768631,41768631,10.1021/acsomega.5c09582,2026,ACS Omega,Warfarin-GPRP: Development and Evaluation of a Novel Warfarin-Based Peptide Conjugate for Enhanced Anticoagulant Activity.,https://europepmc.org/article/MED/41768631,yeohj_anticoag_renal
europe_pmc,anticoag_secondary,16,41926344,41926344,10.12659/ajcr.952509,2026,Am J Case Rep,Use of Apixaban for Venous Thromboembolism Prophylaxis in an Older Hemodialysis Patient After Total Knee Replacement: A Case Report.,https://europepmc.org/article/MED/41926344,yeohj_anticoag_renal
europe_pmc,anticoag_secondary,17,41949434,41949434,10.1177/10760296261442053,2026,Clin Appl Thromb Hemost,Efficacy and Safety of Direct Oral Anticoagulants Versus Standard Anticoagulation for Thromboprophylaxis in Nephrotic Syndrome: A Systematic Review and Meta-Analysis.,https://europepmc.org/article/MED/41949434,yeohj_anticoag_renal
europe_pmc,anticoag_secondary,18,41767128,41767128,10.1016/j.mcpdig.2026.100336,2026,Mayo Clin Proc Digit Health,The Effectiveness of Digital Therapeutics Intervention in Oral Anticoagulation Management: A Systematic Review and Meta-analysis.,https://europepmc.org/article/MED/41767128,yeohj_anticoag_renal
