record_id,suggested_decision,human_final_decision,exclusion_reason,reviewer,review_date
pubmed:38811233:pubmed_anticoag_refined_20260531T223335_90c4eb6f,likely_exclude,,nonhuman or nonclinical terms: rat; cat,rule_based_classifier_v1,20260603
pubmed:36304597:pubmed_anticoag_refined_20260531T223335_90c4eb6f,likely_exclude,,nonhuman or nonclinical terms: rat,rule_based_classifier_v1,20260603
pubmed:35776157:pubmed_anticoag_refined_20260531T223335_90c4eb6f,likely_exclude,,nonhuman or nonclinical terms: rat; cat,rule_based_classifier_v1,20260603
pubmed:35364298:pubmed_anticoag_refined_20260531T223335_90c4eb6f,likely_exclude,,nonhuman or nonclinical terms: cat,rule_based_classifier_v1,20260603
pubmed:34555978:pubmed_anticoag_refined_20260531T223335_90c4eb6f,likely_exclude,,nonhuman or nonclinical terms: rat; cat,rule_based_classifier_v1,20260603
pubmed:34298589:pubmed_anticoag_refined_20260531T223335_90c4eb6f,likely_exclude,,nonhuman or nonclinical terms: rat; cat,rule_based_classifier_v1,20260603
pubmed:32567446:pubmed_anticoag_refined_20260531T223335_90c4eb6f,likely_exclude,,nonhuman or nonclinical terms: rat; cat,rule_based_classifier_v1,20260603
pubmed:32243872:pubmed_anticoag_refined_20260531T223335_90c4eb6f,likely_exclude,,nonhuman or nonclinical terms: rat; cat,rule_based_classifier_v1,20260603
pubmed:30369592:pubmed_anticoag_refined_20260531T223335_90c4eb6f,likely_exclude,,nonhuman or nonclinical terms: rat,rule_based_classifier_v1,20260603
pubmed:29627068:pubmed_anticoag_refined_20260531T223335_90c4eb6f,likely_exclude,,nonhuman or nonclinical terms: rat; cat; in vitro,rule_based_classifier_v1,20260603
pubmed:29299477:pubmed_anticoag_refined_20260531T223335_90c4eb6f,likely_exclude,,nonhuman or nonclinical terms: rat; cat,rule_based_classifier_v1,20260603
pubmed:29256925:pubmed_anticoag_refined_20260531T223335_90c4eb6f,likely_exclude,,nonhuman or nonclinical terms: rat; cat,rule_based_classifier_v1,20260603
pubmed:28197979:pubmed_anticoag_refined_20260531T223335_90c4eb6f,likely_exclude,,nonhuman or nonclinical terms: rat; cat,rule_based_classifier_v1,20260603
pubmed:28033135:pubmed_anticoag_refined_20260531T223335_90c4eb6f,likely_exclude,,nonhuman or nonclinical terms: rat; cat,rule_based_classifier_v1,20260603
pubmed:27885969:pubmed_anticoag_refined_20260531T223335_90c4eb6f,likely_exclude,,nonhuman or nonclinical terms: rat; turkey; cat; pig; swine; in vitro; simulation,rule_based_classifier_v1,20260603
pubmed:27657121:pubmed_anticoag_refined_20260531T223335_90c4eb6f,likely_exclude,,nonhuman or nonclinical terms: rat,rule_based_classifier_v1,20260603
pubmed:27325362:pubmed_anticoag_refined_20260531T223335_90c4eb6f,likely_exclude,,nonhuman or nonclinical terms: rat; cat,rule_based_classifier_v1,20260603
pubmed:27212967:pubmed_anticoag_refined_20260531T223335_90c4eb6f,likely_exclude,,nonhuman or nonclinical terms: rat; cat,rule_based_classifier_v1,20260603
pubmed:26904189:pubmed_anticoag_refined_20260531T223335_90c4eb6f,include_candidate,,"title/abstract matches population, ingredient, and safety outcome",rule_based_classifier_v1,20260603
pubmed:26184395:pubmed_anticoag_refined_20260531T223335_90c4eb6f,likely_exclude,,nonhuman or nonclinical terms: rat; cat,rule_based_classifier_v1,20260603
pubmed:42218370:pubmed_kidney_stone_refined_20260531T223339_33755914,likely_exclude,,nonhuman or nonclinical terms: rat,rule_based_classifier_v1,20260603
pubmed:42212267:pubmed_kidney_stone_refined_20260531T223339_33755914,likely_exclude,,nonhuman or nonclinical terms: rat; cat; in vitro,rule_based_classifier_v1,20260603
pubmed:42199063:pubmed_kidney_stone_refined_20260531T223339_33755914,likely_exclude,,nonhuman or nonclinical terms: rat; cat,rule_based_classifier_v1,20260603
pubmed:42194937:pubmed_kidney_stone_refined_20260531T223339_33755914,likely_exclude,,nonhuman or nonclinical terms: rat; cat,rule_based_classifier_v1,20260603
pubmed:42189825:pubmed_kidney_stone_refined_20260531T223339_33755914,likely_exclude,,nonhuman or nonclinical terms: rat; cat,rule_based_classifier_v1,20260603
pubmed:42182979:pubmed_kidney_stone_refined_20260531T223339_33755914,include_candidate,,"title/abstract matches population, ingredient, and safety outcome",rule_based_classifier_v1,20260603
pubmed:42176144:pubmed_kidney_stone_refined_20260531T223339_33755914,likely_exclude,,nonhuman or nonclinical terms: rat,rule_based_classifier_v1,20260603
pubmed:42166177:pubmed_kidney_stone_refined_20260531T223339_33755914,likely_exclude,,nonhuman or nonclinical terms: rat,rule_based_classifier_v1,20260603
pubmed:42164543:pubmed_kidney_stone_refined_20260531T223339_33755914,likely_exclude,,nonhuman or nonclinical terms: rat; cat,rule_based_classifier_v1,20260603
pubmed:42161334:pubmed_kidney_stone_refined_20260531T223339_33755914,likely_exclude,,nonhuman or nonclinical terms: rat,rule_based_classifier_v1,20260603
pubmed:42158881:pubmed_kidney_stone_refined_20260531T223339_33755914,likely_exclude,,nonhuman or nonclinical terms: rat; cat,rule_based_classifier_v1,20260603
pubmed:42154023:pubmed_kidney_stone_refined_20260531T223339_33755914,likely_exclude,,nonhuman or nonclinical terms: rat; cat,rule_based_classifier_v1,20260603
pubmed:42152638:pubmed_kidney_stone_refined_20260531T223339_33755914,likely_exclude,,nonhuman or nonclinical terms: rat; cat; molecular docking; mmgbsa; admet; simulation,rule_based_classifier_v1,20260603
pubmed:42147788:pubmed_kidney_stone_refined_20260531T223339_33755914,likely_exclude,,nonhuman or nonclinical terms: rat,rule_based_classifier_v1,20260603
pubmed:42136917:pubmed_kidney_stone_refined_20260531T223339_33755914,likely_exclude,,nonhuman or nonclinical terms: rat; cat,rule_based_classifier_v1,20260603
pubmed:42133563:pubmed_kidney_stone_refined_20260531T223339_33755914,likely_exclude,,nonhuman or nonclinical terms: rat; cat; in vitro,rule_based_classifier_v1,20260603
pubmed:42129239:pubmed_kidney_stone_refined_20260531T223339_33755914,likely_exclude,,nonhuman or nonclinical terms: rat; cat,rule_based_classifier_v1,20260603
pubmed:42128230:pubmed_kidney_stone_refined_20260531T223339_33755914,likely_exclude,,nonhuman or nonclinical terms: rat,rule_based_classifier_v1,20260603
pubmed:42105121:pubmed_kidney_stone_refined_20260531T223339_33755914,likely_exclude,,nonhuman or nonclinical terms: rat; turkey; cat,rule_based_classifier_v1,20260603
