file,data_rows,columns,header,sha256
PRISMA 선별요약 260604.csv,11,9,study|stage|검색_주제|search_date|database|hit_count|stored_records|unique_pmids|notes,091c2a1a2d49bf8f56fa515035fa35a0047727fc3fa8bff55e7f4252ab155d58
rule seed 검증표 260604.csv,6,9,study|rule_seed_id|target_group|ingredient_or_exposure|trigger|priority|review_status|validation_result|evidence_basis,0c6aeab774d38ba6c49a9b7240608c0571fadeabafa19f47f18328d166ba23a3
rule 확실성평가 260604.csv,6,4,rule_seed_id|certainty|reason|rule_strength,f8ce0ebc5e6f4de6cc685856b1859256019c5f1f957f271f1178bf107cae0407
검색식기록 260604.csv,4,14,study|search_run_id|source|검색_주제|search_date|query|mapped_query|filters|hit_count|max_records|export_method|raw_path|status|notes,293999555dd9b053f965420ab9245672767e90be777195a9182db56b5a4bc665
검색원별 검색전략 재설계 260604.csv,8,8,연구자|검색원|역할|검색 대상|검색식 초안|수행 상태|기록할 항목|비고,1dd190e390038f5a1a93b94530ba49c84d730fb5e5861f621a2ee28468d8df27
검색원별 실행 로그 260604.csv,10,8,연구자|검색원|검색일|검색주제|hit수|저장수|수행상태|비고,635064cd5286d5ba51829874e7f0cb25c1692cbb0ca9afb9c1d4383157fe0a96
근거 rule trace 260604.csv,6,5,rule_seed_id|source_evidence_ids|numeric_anchor|rule_logic|expected_output,c754e5412ff44e98c338d52b59ab4cb9db175f47338265d1b51e869215dd9689
근거신뢰도평가 260604.csv,10,5,evidence_id|assessment_tool|domain_judgement|overall_judgement|reason_for_use,f144f46600187faca6bd4d53335d25c39fafd01421fad1ad8afa9843eb7fb022
문헌특성분포 260604.csv,37,7,study|category|item|count|denominator|percent|note,3b24c3a58707c0a4641f38aba23fc7a5c0a9c47222ed7f233c1d9b101be5e30b
방법론벤치마크 260604.csv,6,6,study|benchmark_source|benchmark_role|requirement_used|implemented_artifact|url,b71e348afb3eedeab1f5145d115372603b003ddf544a7c91e898de22c96621c9
보조검색기록 260604.csv,80,11,source|검색_주제|rank|provider_id|pmid|doi|year|journal|title|url|study,41e280f6c1aa556918eb2e5e2f0b3c6bfdaa0531fd7fec2c1ced3fcabafe6ec7
보조검색요약 260604.csv,4,10,source|검색_주제|query|search_date|hit_count|stored_records|api_url|raw_path|status|study,e55e5c7261a8ac0f57eb9ccef52c2dbcce5225aab8194afd7107c063379c43ce
분류기수정검증 260604.csv,4,4,study|check_item|result|detail,d30d626acce986a4b0d71cb87afb38082fb8fcf464346706ced0ddea808e0086
사이트 문헌패널검증 260604.csv,2,16,study|public_url|test_input|expected_top_rule|api_response_sections|latest_pubmed_hit|latest_pubmed_stored|cumulative_pubmed_candidates|secondary_hit|secondary_stored|priority_candidate_count|shown_candidate_count|visible_rule_count|public_playwright_result|result_panel_screenshot_record|landing_scope_screenshot_record,d572ee695f2c5d6e1cf7b45127e555c9d01116f0d55dd7accc67d6c48b2305c2
사이트 첫화면범위검증 260604.csv,2,14,study|public_url|commit|deployment|landing_section_label|latest_pubmed_hit|secondary_hit|priority_candidate_count|visible_rule_count|latest_pubmed_stored|secondary_stored|cumulative_pubmed_candidates|screenshot_record|html_string_check,0bf6ab340e163ae4be5d5a1e6fc63b71c226d81a1d900d36b7077d748d167e6f
선별사유요약 260604.csv,5,5,study|suggested_decision|summary_reason|count|screening_unit,c92719f893b6575ee6ff14f242219a82f9cfd0d97d5d628329b1076a41234cbc
시나리오평가 260604.csv,5,18,scenario_id|study|scenario_label|input_summary|expected_focus|definitely_matched|possibly_relevant|needs_more_info|excluded|top_severity|top_rule_id|top_message|top3_rule_ids|linked_source_count_top3|linked_evidence_count_top3|engine_rule_count|engine_source_count|engine_evidence_count,78d18bac03476b6de86df5a71b9947c08db09333295f00e690e36e120c9988e5
우선검토후보 260604.csv,214,13,study|priority|pmid|year|검색_주제|suggested_decision|matched_population_terms|matched_ingredient_terms|matched_outcome_terms|matched_study_terms|review_role|title|url,bdd97b075dfbc00326b52162f133c5657a1666402c111472657ae3d383182998
전체후보문헌 260604.csv,236,13,study|record_id|source|검색_주제|search_run_id|title|year|journal_or_source|doi|pmid|url|is_duplicate|duplicate_of,b7caec6fc6e4b065a13d61898649b07d07ea52184d8cee9c370a83bcba8d015b
정량검증지표 260604.csv,13,4,study|metric|value|interpretation,d6a3d9b6529cb4470229c1a429cc0075b4aa242478533ca5aa5e692aa907eed6
초록 분류 결과 요약 260604.csv,9,5,연구자|구분|항목|건수|설명,f6797e149577708ea7d217c4d3c499b3680ff67ef471babf659e8b6efffbcfba
핵심근거추출표 260604.csv,10,10,evidence_id|source|design|population_or_sample|exposure|main_numeric_result|rule_or_thesis_use|url|evidence_level|final_decision,ebc139398f5315f8174a66e4fdd8c8733a50d27c68e1c3050f4e49b3d3339683
