position,field_name,korean_label,data_type,allowed_values,required_rule,description
1,extraction_id,추출행 ID,string,unique nonempty,always,한 결과·한 시점 추출행의 고유 ID
2,study_id,연구 ID,string,validated study ID,always,여러 보고서를 묶는 검증된 연구 ID
3,report_id,보고서 ID,string,validated report ID,always,원문 보고서 ID
4,source_id,출처 ID,string,validated source ID,always,해시로 검증된 원문 출처 ID
5,question_id,연구질문,string,A1;A2;B1;B2;B3,always,이 행이 답하는 사전 고정 질문
6,evidence_layer,근거 층위,string,primary;secondary;guideline,always,일차연구·이차연구·지침 구분
7,design_family,설계군,string,RCT;nonrandomized;observational;case_report;review;guideline,always,RoB 도구 선택에 사용하는 연구설계군
8,country,국가,string,free text,when reported,연구 수행 국가
9,setting,연구 환경,string,free text,when reported,병원·지역사회 등 모집 환경
10,recruitment_period,모집 기간,string,ISO dates or source text,when reported,대상자 모집 기간
11,followup_value,추적기간 값,number,nonnegative,when outcome has follow-up,추적기간의 수치
12,followup_unit,추적기간 단위,string,day;week;month;year,when followup_value present,추적기간 단위
13,population_description,대상자 설명,string,source-faithful text,always,포함 대상과 핵심 임상 특성
14,n_total,전체 대상자수,integer,nonnegative,when reported,등록 또는 분석된 전체 수
15,n_exposed,노출군 수,integer,nonnegative,when arm data reported,노출·중재군 대상자 수
16,n_comparator,비교군 수,integer,nonnegative,when comparator exists,비교군 대상자 수
17,age_summary,연령 요약,string,source-faithful text,when reported,평균·중앙값·범위 등 원문 요약
18,sex_summary,성별 요약,string,source-faithful text,when reported,성별 분포의 원문 요약
19,high_risk_definition,고위험 정의,string,source-faithful text,when applicable,저자가 사용한 고위험 기준
20,anticoagulant_type,항응고제 종류,string,canonical plus source term,for A1 or A2 when applicable,항응고제 성분 또는 계열
21,indication,적응증,string,source-faithful text,when anticoagulant present,항응고제 사용 적응증
22,exposure_ingredient,노출 성분,string,canonical ingredient,always,비타민·미네랄·보충제 성분
23,exposure_form,노출 제형,string,source-faithful text,when reported,식이·보충제·제형·화학형
24,dose_reported,보고 용량,string,source-faithful text,when reported,원문에 제시된 용량과 단위
25,dose_normalized,정규화 용량,number,nonnegative,when conversion is valid,사전 정의 변환 후 수치
26,dose_unit,정규화 단위,string,canonical unit,when dose_normalized present,정규화 용량 단위
27,frequency,빈도,string,source-faithful text,when reported,일일·주간 투여 빈도
28,duration,노출 기간,string,source-faithful text,when reported,노출 또는 중재 기간
29,cointerventions,공동중재,string,source-faithful text,when present,동시에 시행한 치료·보충
30,comparator,비교 조건,string,source-faithful text,when comparator exists,위약·무중재·다른 용량 등
31,outcome_canonical,표준 결과명,string,protocol outcome vocabulary,always,프로토콜의 표준화된 결과명
32,outcome_author_definition,저자 결과 정의,string,source-faithful text,always,원 저자가 사용한 결과 정의
33,outcome_type,결과 유형,string,binary;continuous;time_to_event;other,always,자료 구조에 따른 결과 유형
34,timepoint,측정 시점,string,source-faithful text,always,결과가 측정된 시점
35,events_exposed,노출군 사건수,integer,nonnegative,for binary exposed result,노출군 사건 수
36,n_exposed_outcome,노출군 결과 분모,integer,nonnegative,when events_exposed present,해당 결과가 평가된 노출군 분모
37,events_comparator,비교군 사건수,integer,nonnegative,for binary comparator result,비교군 사건 수
38,n_comparator_outcome,비교군 결과 분모,integer,nonnegative,when events_comparator present,해당 결과가 평가된 비교군 분모
39,continuous_exposed,노출군 연속형 요약,string,JSON or source-faithful text,for continuous exposed result,평균·SD 또는 중앙값·IQR 등
40,continuous_comparator,비교군 연속형 요약,string,JSON or source-faithful text,for continuous comparator result,비교군 연속형 요약
41,effect_measure,효과척도,string,RR;OR;HR;RD;MD;SMD;other,when effect estimate present,효과추정치의 척도
42,effect_estimate,효과추정치,number,finite,when reported,보고된 효과추정치
43,ci_lower,신뢰구간 하한,number,finite,when CI reported,신뢰구간 하한
44,ci_upper,신뢰구간 상한,number,finite,when CI reported,신뢰구간 상한
45,adjusted,보정 여부,boolean,true;false,when effect estimate present,보정 분석 여부
46,covariates,보정 변수,string,source-faithful text,when adjusted true,보정에 사용한 변수
47,supporting_quote,지지 원문,string,verbatim source excerpt,when any result value present,추출값을 직접 지지하는 짧은 원문
48,page,페이지 또는 XML locator,string,reproducible locator,when supporting_quote present,페이지 번호 또는 재현 가능한 문단 locator
49,section,절,string,source heading,when supporting_quote present,원문 절 제목
50,table_figure,표·그림,string,source label,when applicable,표·그림 번호 또는 행 위치
51,source_file_sha256,원문 SHA-256,string,64 lowercase hex,always,실제 읽은 원문 byte의 해시
52,extracted_by,추출자,string,human reviewer ID,always,원문에서 값을 입력한 사람
53,verified_by,검증자,string,human reviewer ID distinct from extracted_by,when verification_status verified,독립 검증자
54,verification_status,검증 상태,string,pending;discrepant;verified,always,독립 검증 진행 상태
55,notes,비고,string,free text,optional,불확실성·결측·변환·불일치 기록
