candidate_id,record_id,question_id,pmid,pmcid,study_design_candidate,group_or_exposure_signals,timepoint_signals,outcome_definition_signals,comparison_signal,measure_type,observed_value,operator,ci_lower,ci_upper,xml_locator,source_sentence,source_sentence_sha256,context_completeness,extraction_authority,human_verified,effect_estimate_usable
NUM-PMC4998867-1-1-percentage-1,REC-PUBMED-26962786,A1,26962786,PMC4998867,systematic_review,patients with|treatment,,,true,percentage,64,,,,article[pmcid='PMC4998867']/body//p[1]/sentence[1],"The vitamin K antagonists (VKAs, e.g., warfarin) continue to be commonly used to prevent ischemic stroke in patients with atrial fibrillation (AF), with an approximately risk reduction of 64%, and with a decrease in all-cause mortality by 26%.1 VKAs are also widely prescribed in patients with venous thromboembolism (VTE), and represent the treatment of choice for patients with prosthetic heart valves.",c8e7b34c01c345245d4d429654afc6226540d106624f8e4d117d3c4c2206bb73,context_incomplete_manual_review,agent_result_context_only,,false
NUM-PMC4998867-1-1-percentage-2,REC-PUBMED-26962786,A1,26962786,PMC4998867,systematic_review,patients with|treatment,,,true,percentage,26,,,,article[pmcid='PMC4998867']/body//p[1]/sentence[1],"The vitamin K antagonists (VKAs, e.g., warfarin) continue to be commonly used to prevent ischemic stroke in patients with atrial fibrillation (AF), with an approximately risk reduction of 64%, and with a decrease in all-cause mortality by 26%.1 VKAs are also widely prescribed in patients with venous thromboembolism (VTE), and represent the treatment of choice for patients with prosthetic heart valves.",c8e7b34c01c345245d4d429654afc6226540d106624f8e4d117d3c4c2206bb73,context_incomplete_manual_review,agent_result_context_only,,false
NUM-PMC4998867-23-1-percentage-1,REC-PUBMED-26962786,A1,26962786,PMC4998867,systematic_review,intervention|diet,baseline,coagulation|INR,true,percentage,80,,,,article[pmcid='PMC4998867']/body//p[23]/sentence[1],"In the second interventional study, the authors performed a 4-day in-hospital dietary intervention assigning 12 patients on stable anticoagulation, defined as 2 consecutive INR values between 2.0 and 3.0,17 to receive a vitamin K-depleted (80% decrease) or enriched (500% increase) diet, relative to the baseline level,17 and assessing the effect on 3 INR measurements.",9753ec1d4697e5150c98c9053d947211fa02565bfad1503d407fde034acd2aa3,candidate_context_present,agent_result_context_only,,false
NUM-PMC4998867-23-1-percentage-2,REC-PUBMED-26962786,A1,26962786,PMC4998867,systematic_review,intervention|diet,baseline,coagulation|INR,true,percentage,500,,,,article[pmcid='PMC4998867']/body//p[23]/sentence[1],"In the second interventional study, the authors performed a 4-day in-hospital dietary intervention assigning 12 patients on stable anticoagulation, defined as 2 consecutive INR values between 2.0 and 3.0,17 to receive a vitamin K-depleted (80% decrease) or enriched (500% increase) diet, relative to the baseline level,17 and assessing the effect on 3 INR measurements.",9753ec1d4697e5150c98c9053d947211fa02565bfad1503d407fde034acd2aa3,candidate_context_present,agent_result_context_only,,false
NUM-PMC4998867-27-1-percentage-1,REC-PUBMED-26962786,A1,26962786,PMC4998867,systematic_review,control|diet|patients with,previous months,coagulation|INR,true,percentage,66,,,,article[pmcid='PMC4998867']/body//p[27]/sentence[1],"In a large nested case-control study,20 the relationship between dietary vitamin K and coagulation was investigated in 300 patients with an INR ≥6 compared with 302 patients with stable anticoagulation, defined as having at least 66% of the INRs within the target zone, and no INR ≥5.5 in the 3 previous months.",c32de4287d8ac3275e90038d48802754a8a916f5aa34528bee4d2b1f41f5a18e,candidate_context_present,agent_result_context_only,,false
NUM-PMC4998867-29-1-p_value-1,REC-PUBMED-26962786,A1,26962786,PMC4998867,systematic_review,intake|dose,,INR,false,p_value,0.017,=,,,article[pmcid='PMC4998867']/body//p[29]/sentence[1],"In a study including 115 patients treated with VKAs for arterial disease or VTE,21 recent phylloquinone intake was inversely correlated with PT (r = −0.22, P = 0.017) and INR (r = −0.23, P = 0.011), whereas there was a positive association between habitual vitamin K intake and median warfarin dose (r = 0.23, P = 0.011).",8c8b78591e04caed740217d91bfd8dbaa6184e42b5a2387960fc1019d0fefdf8,candidate_context_present,agent_result_context_only,,false
NUM-PMC4998867-29-1-p_value-2,REC-PUBMED-26962786,A1,26962786,PMC4998867,systematic_review,intake|dose,,INR,false,p_value,0.011,=,,,article[pmcid='PMC4998867']/body//p[29]/sentence[1],"In a study including 115 patients treated with VKAs for arterial disease or VTE,21 recent phylloquinone intake was inversely correlated with PT (r = −0.22, P = 0.017) and INR (r = −0.23, P = 0.011), whereas there was a positive association between habitual vitamin K intake and median warfarin dose (r = 0.23, P = 0.011).",8c8b78591e04caed740217d91bfd8dbaa6184e42b5a2387960fc1019d0fefdf8,candidate_context_present,agent_result_context_only,,false
NUM-PMC4998867-29-1-p_value-3,REC-PUBMED-26962786,A1,26962786,PMC4998867,systematic_review,intake|dose,,INR,false,p_value,0.011,=,,,article[pmcid='PMC4998867']/body//p[29]/sentence[1],"In a study including 115 patients treated with VKAs for arterial disease or VTE,21 recent phylloquinone intake was inversely correlated with PT (r = −0.22, P = 0.017) and INR (r = −0.23, P = 0.011), whereas there was a positive association between habitual vitamin K intake and median warfarin dose (r = 0.23, P = 0.011).",8c8b78591e04caed740217d91bfd8dbaa6184e42b5a2387960fc1019d0fefdf8,candidate_context_present,agent_result_context_only,,false
NUM-PMC4998867-30-3-p_value-1,REC-PUBMED-26962786,A1,26962786,PMC4998867,systematic_review,intake,,INR,true,p_value,0.012,=,,,article[pmcid='PMC4998867']/body//p[30]/sentence[3],"Median vitamin K intake was lower among patients who had less coefficient of variation (CV) of INR (<10%) compared with unstable patients (CV >10%) [12 (7–14) versus 14 (7–19), respectively, P = 0.012].",b14c6c637b6239144c60982f3e546031acacd843e93627813dca298d303a080c,candidate_context_present,agent_result_context_only,,false
NUM-PMC4998867-30-3-percentage-1,REC-PUBMED-26962786,A1,26962786,PMC4998867,systematic_review,intake,,INR,true,percentage,10,,,,article[pmcid='PMC4998867']/body//p[30]/sentence[3],"Median vitamin K intake was lower among patients who had less coefficient of variation (CV) of INR (<10%) compared with unstable patients (CV >10%) [12 (7–14) versus 14 (7–19), respectively, P = 0.012].",b14c6c637b6239144c60982f3e546031acacd843e93627813dca298d303a080c,candidate_context_present,agent_result_context_only,,false
