record_id,question_id,pmid,pmcid,study_design_candidate,randomization_signal,blinding_signal,attrition_signal,confounding_signal,outcome_measurement_signal,selective_reporting_signal,rob_tool_candidate,rob_authority,human_domain_judgment,overall_rob_judgment,rob_completed
REC-PUBMED-24052022,A1,24052022,PMC4038335,cohort,not_applicable_or_design_unconfirmed,not_applicable_or_design_unconfirmed,signal_not_observed_in_extracted_sentences,signal_observed,signal_not_observed_in_extracted_sentences,signal_not_observed_in_extracted_sentences,ROBINS-I,agent_signal_map_only,,,false
REC-PUBMED-26566518,A1,26566518,PMC4641985,retrospective_survey,not_applicable_or_design_unconfirmed,not_applicable_or_design_unconfirmed,signal_not_observed_in_extracted_sentences,signal_observed,signal_observed,signal_not_observed_in_extracted_sentences,JBI analytical cross-sectional checklist,agent_signal_map_only,,,false
REC-PUBMED-26962786,A1,26962786,PMC4998867,systematic_review,not_applicable_or_design_unconfirmed,not_applicable_or_design_unconfirmed,signal_not_observed_in_extracted_sentences,signal_not_observed_in_extracted_sentences,signal_observed,signal_not_observed_in_extracted_sentences,AMSTAR 2,agent_signal_map_only,,,false
REC-PUBMED-35105600,A1,35105600,PMC8808436,cohort,not_applicable_or_design_unconfirmed,not_applicable_or_design_unconfirmed,signal_not_observed_in_extracted_sentences,signal_not_observed_in_extracted_sentences,signal_not_observed_in_extracted_sentences,signal_not_observed_in_extracted_sentences,ROBINS-I,agent_signal_map_only,,,false
REC-PUBMED-22651380,A2,22651380,PMC3534595,systematic_review,not_applicable_or_design_unconfirmed,not_applicable_or_design_unconfirmed,signal_not_observed_in_extracted_sentences,signal_not_observed_in_extracted_sentences,signal_not_observed_in_extracted_sentences,signal_not_observed_in_extracted_sentences,AMSTAR 2,agent_signal_map_only,,,false
REC-PUBMED-23895505,A2,23895505,PMC3733694,systematic_review,not_applicable_or_design_unconfirmed,not_applicable_or_design_unconfirmed,signal_not_observed_in_extracted_sentences,signal_not_observed_in_extracted_sentences,signal_not_observed_in_extracted_sentences,signal_observed,AMSTAR 2,agent_signal_map_only,,,false
REC-PUBMED-27657121,A2,27657121,PMC5037562,randomized_trial,signal_observed,signal_not_observed_in_extracted_sentences,signal_not_observed_in_extracted_sentences,signal_not_observed_in_extracted_sentences,signal_not_observed_in_extracted_sentences,signal_not_observed_in_extracted_sentences,RoB 2,agent_signal_map_only,,,false
REC-PUBMED-35776157,A2,35776157,PMC9365742,pharmacovigilance_database,not_applicable_or_design_unconfirmed,not_applicable_or_design_unconfirmed,signal_not_observed_in_extracted_sentences,signal_not_observed_in_extracted_sentences,signal_not_observed_in_extracted_sentences,signal_not_observed_in_extracted_sentences,ROBINS-I,agent_signal_map_only,,,false
REC-PUBMED-38811233,A2,38811233,PMC11537787,randomized_trial,signal_not_observed_in_extracted_sentences,signal_not_observed_in_extracted_sentences,signal_not_observed_in_extracted_sentences,signal_observed,signal_not_observed_in_extracted_sentences,signal_not_observed_in_extracted_sentences,RoB 2,agent_signal_map_only,,,false
REC-PUBMED-22341269,B1,22341269,PMC3722432,cohort,not_applicable_or_design_unconfirmed,not_applicable_or_design_unconfirmed,signal_not_observed_in_extracted_sentences,signal_observed,signal_observed,signal_not_observed_in_extracted_sentences,ROBINS-I,agent_signal_map_only,,,false
REC-PUBMED-23535174,B1,23535174,PMC4393945,randomized_trial,signal_observed,signal_not_observed_in_extracted_sentences,signal_not_observed_in_extracted_sentences,signal_observed,signal_not_observed_in_extracted_sentences,signal_not_observed_in_extracted_sentences,RoB 2,agent_signal_map_only,,,false
REC-PUBMED-34504775,B1,34504775,PMC8417339,case_report_or_series,not_applicable_or_design_unconfirmed,not_applicable_or_design_unconfirmed,signal_not_observed_in_extracted_sentences,signal_not_observed_in_extracted_sentences,signal_not_observed_in_extracted_sentences,signal_not_observed_in_extracted_sentences,JBI case report/series checklist,agent_signal_map_only,,,false
REC-PUBMED-41940570,B1,41940570,PMC13053978,design_unclear,not_applicable_or_design_unconfirmed,not_applicable_or_design_unconfirmed,signal_not_observed_in_extracted_sentences,signal_not_observed_in_extracted_sentences,signal_observed,signal_not_observed_in_extracted_sentences,design_confirmation_required,agent_signal_map_only,,,false
REC-PUBMED-24657333,B2,24657333,PMC4127365,randomized_trial,signal_observed,signal_observed,signal_observed,signal_not_observed_in_extracted_sentences,signal_not_observed_in_extracted_sentences,signal_not_observed_in_extracted_sentences,RoB 2,agent_signal_map_only,,,false
REC-PUBMED-24937025,B2,24937025,PMC4209182,randomized_trial,signal_observed,signal_not_observed_in_extracted_sentences,signal_not_observed_in_extracted_sentences,signal_not_observed_in_extracted_sentences,signal_observed,signal_not_observed_in_extracted_sentences,RoB 2,agent_signal_map_only,,,false
REC-PUBMED-27545576,B2,27545576,PMC5241241,cohort,not_applicable_or_design_unconfirmed,not_applicable_or_design_unconfirmed,signal_not_observed_in_extracted_sentences,signal_not_observed_in_extracted_sentences,signal_not_observed_in_extracted_sentences,signal_not_observed_in_extracted_sentences,ROBINS-I,agent_signal_map_only,,,false
REC-PUBMED-30056401,B2,30056401,PMC8522899,cohort,not_applicable_or_design_unconfirmed,not_applicable_or_design_unconfirmed,signal_not_observed_in_extracted_sentences,signal_not_observed_in_extracted_sentences,signal_observed,signal_not_observed_in_extracted_sentences,ROBINS-I,agent_signal_map_only,,,false
REC-PUBMED-32161591,B2,32161591,PMC7053380,systematic_review,not_applicable_or_design_unconfirmed,not_applicable_or_design_unconfirmed,signal_not_observed_in_extracted_sentences,signal_not_observed_in_extracted_sentences,signal_not_observed_in_extracted_sentences,signal_not_observed_in_extracted_sentences,AMSTAR 2,agent_signal_map_only,,,false
REC-PUBMED-34959915,B2,34959915,PMC8707627,systematic_review,not_applicable_or_design_unconfirmed,not_applicable_or_design_unconfirmed,signal_not_observed_in_extracted_sentences,signal_observed,signal_not_observed_in_extracted_sentences,signal_not_observed_in_extracted_sentences,AMSTAR 2,agent_signal_map_only,,,false
REC-PUBMED-35458212,B2,35458212,PMC9032836,randomized_trial,signal_not_observed_in_extracted_sentences,signal_not_observed_in_extracted_sentences,signal_not_observed_in_extracted_sentences,signal_not_observed_in_extracted_sentences,signal_not_observed_in_extracted_sentences,signal_not_observed_in_extracted_sentences,RoB 2,agent_signal_map_only,,,false
REC-PUBMED-36118750,B2,36118750,PMC9478201,systematic_review,not_applicable_or_design_unconfirmed,not_applicable_or_design_unconfirmed,signal_not_observed_in_extracted_sentences,signal_not_observed_in_extracted_sentences,signal_observed,signal_not_observed_in_extracted_sentences,AMSTAR 2,agent_signal_map_only,,,false
REC-PUBMED-36221396,B2,36221396,PMC9542661,case_report_or_series,not_applicable_or_design_unconfirmed,not_applicable_or_design_unconfirmed,signal_not_observed_in_extracted_sentences,signal_not_observed_in_extracted_sentences,signal_not_observed_in_extracted_sentences,signal_not_observed_in_extracted_sentences,JBI case report/series checklist,agent_signal_map_only,,,false
