record_id,question_id,pmid,pmcid,title,body_present,body_paragraphs,body_text_sha256,retrieval_authority,human_fulltext_verified,human_eligibility_decision
REC-PUBMED-21193422,A1,21193422,PMC3069236,Vitamin K1 supplementation to improve the stability of anticoagulation therapy with vitamin K antagonists: a dose-finding study,false,0,,agent_source_capture_only,,
REC-PUBMED-24052022,A1,24052022,PMC4038335,"Vitamin K intake, body mass index and warfarin maintenance dose",true,23,f7031515efdad19343cf758a295bb3697093772381850dc189f166b941a5453a,agent_source_capture_only,,
REC-PUBMED-24832594,A1,24832594,PMC11254377,Vitamin K for improved anticoagulation control in patients receiving warfarin,false,0,,agent_source_capture_only,,
REC-PUBMED-26566518,A1,26566518,PMC4641985,Association Between Usual Vitamin K Intake and Anticoagulation in Patients Under Warfarin Therapy,true,22,38ffabe89d2fbc559ce14e185375f4e966fbf43b83aa1e2a3e2583a11bea46f5,agent_source_capture_only,,
REC-PUBMED-26962786,A1,26962786,PMC4998867,Interaction Between Dietary Vitamin K Intake and Anticoagulation by Vitamin K Antagonists: Is It Really True?,true,43,e433c6cd6f904e1765e5c4e868d241276627399dbc060bbb2fa61aa9fd0efdcc,agent_source_capture_only,,
REC-PUBMED-35105600,A1,35105600,PMC8808436,Vitamin K-dependent anticoagulant use and level of anticoagulation control in sub-Saharan Africa: protocol for a retrospective cohort study,true,27,0e5c79ad132b866c8051a50df6d207f49f6627d524c336715e9d97e82c7ca600,agent_source_capture_only,,
REC-PUBMED-35685257,A1,35685257,PMC9169004,Does vitamin K supplementation improve vitamin K antagonist therapy? A case report and update of the literature,false,0,,agent_source_capture_only,,
REC-PUBMED-11271790,B1,11271790,PMC1731261,Why oral calcium supplements may reduce renal stone disease: report of a clinical pilot study,false,0,,agent_source_capture_only,,
REC-PUBMED-22341269,B1,22341269,PMC3722432,Impact of Calcium Intake and Intestinal Calcium Absorption on Kidney Stones in Older Women: The Study of Osteoporotic Fractures (SOF),true,22,4a4fbd2bf0808b88a959699f226f6a405d15337a2af90772d8bbe37d5065dcf3,agent_source_capture_only,,
REC-PUBMED-23535174,B1,23535174,PMC4393945,Dietary calcium from dairy and non-dairy sources and risk of symptomatic kidney stones,true,23,02a1a863841b1db7250f0859ea94438b151b17280096f2aadfd38e185d14051e,agent_source_capture_only,,
REC-PUBMED-34504775,B1,34504775,PMC8417339,Staged treatment for substantial bilateral calcium carbonate nephrolithiasis in vegan patient☆,true,15,d68ef2c912ae20450ba4543276aee477489502d1332c18fac7d838cb9c2ed246,agent_source_capture_only,,
REC-PUBMED-41940570,B1,41940570,PMC13053978,Measurement of precipitated calcium citrate in 24-hour urine samples is clinically useful for ruling out calcium oxalate urolithiasis,true,57,a66264f28dc5575d5bd47e29eafc568d726476570aa9e0dac80f064efd5d7079,agent_source_capture_only,,
REC-PUBMED-24657333,B2,24657333,PMC4127365,Risk of Hypercalcemia in Blacks Taking Hydrochlorothiazide and Vitamin D,true,19,a1cceae6a72afcc13ece52d3f975fdfafea0ee6226350c0d9af7595af432c3ac,agent_source_capture_only,,
REC-PUBMED-24937025,B2,24937025,PMC4209182,Incidence of hypercalciuria and hypercalcemia during vitamin D and calcium Supplementation in older women,true,48,ad318140c908f92b3f2004f177a18c36d42f3c10e6f83ed4c156f58fabe0bf16,agent_source_capture_only,,
REC-PUBMED-26788229,B2,26788229,PMC4707892,Combined vitamin D and calcium supplementation in vitamin D inadequate patients with urolithiasis: Impact on hypercalciuria and de novo stone formation,false,0,,agent_source_capture_only,,
REC-PUBMED-27545576,B2,27545576,PMC5241241,Vitamin D Intake and the Risk of Incident Kidney Stones,true,16,d6734cd2d0d9c7c7269781c9601049e7cf6ec49ee164b2a17a9799726fbdf495,agent_source_capture_only,,
REC-PUBMED-30056401,B2,30056401,PMC8522899,"The Impact of Vitamin D Supplementation on Vitamin D Level, Urinary Calcium Excretion and Bone Density in Patients with Hypercalciuria and Vitamin D Deficiency − Preliminary Report",true,72,806929e9261533f3f7907b32aa2fc47c23f1f8ea24db092af2f48bd804f8c3b1,agent_source_capture_only,,
REC-PUBMED-32161591,B2,32161591,PMC7053380,High-Dose Vitamin D-Mediated Hypercalcemia as a Potential Risk Factor in Central Nervous System Demyelinating Disease,true,19,434fa475bc4ef1407df26f5df59be04625680cb4517e3d13ac2e863fb1304bcc,agent_source_capture_only,,
REC-PUBMED-34515963,B2,34515963,PMC8810995,Successful treatment with denosumab for two cases with hypercalcemia due to vitamin D intoxication and associated acute kidney injury,false,0,,agent_source_capture_only,,
REC-PUBMED-34959915,B2,34959915,PMC8707627,Calcium and Vitamin D Supplementation and Their Association with Kidney Stone Disease: A Narrative Review,true,45,0a531eff345b5f12b9ede124e003c8f5f70846008816ba9dd13837cd30116534,agent_source_capture_only,,
REC-PUBMED-35458212,B2,35458212,PMC9032836,Reduction in Hypercalcemia Following Readjustment of Target Serum 25-Hydroxy Vitamin D Concentration during Cholecalciferol Therapy in Vitamin D-Deficient Critically Ill Patients,true,17,b06fbdb4a77ead9ce52d7737598c08e1fd762eb53cc8ec645ff777492f056046,agent_source_capture_only,,
REC-PUBMED-36118750,B2,36118750,PMC9478201,Association of hypercalciuria with vitamin D supplementation in patients undergoing ketogenic dietary therapy,true,42,59388d75bb39c9fd04fb717c028760bd24b40e666eebe4c06271804f1181a360,agent_source_capture_only,,
