pmcid,paragraph_position,section_id,section_title,xml_locator,normalized_text_chars,normalized_text_sha256,human_locator_verified,human_claim_linked
PMC5037562,1,sec1-nutrients-08-00578,1. Introduction,article[pmcid='PMC5037562']/body//p[1],1368,97a39e5bffc2e91f73a836f95a53d5a0a2e44e0f45764cbad943a0211ee2f356,,
PMC5037562,2,sec1-nutrients-08-00578,1. Introduction,article[pmcid='PMC5037562']/body//p[2],2057,02cfc1a5867823b6222635df7772f0f4b043d249a7948eeb95b50224a5734d8f,,
PMC5037562,3,sec1-nutrients-08-00578,1. Introduction,article[pmcid='PMC5037562']/body//p[3],1842,7a34973e7f4ba3e4bc72a35725b128346a8981c745fc92925b91c7b14882c77a,,
PMC5037562,4,sec1-nutrients-08-00578,1. Introduction,article[pmcid='PMC5037562']/body//p[4],1470,4ca381d1c801805ed6e4e5da4cd1652009c70126aebba871e9d00b18a25c6b5c,,
PMC5037562,5,sec2dot1-nutrients-08-00578,2.1. Study Design and Setting,article[pmcid='PMC5037562']/body//p[5],465,206fdbeb7a6036a2aa95e382142689c81461235e0b897f0f2c0591d96c941a01,,
PMC5037562,6,sec2dot2-nutrients-08-00578,2.2. Study Population,article[pmcid='PMC5037562']/body//p[6],765,2712cfd1ee18973ba96e6200095c927ed21c054dd0cd9e0c93f1e35ef79cb2de,,
PMC5037562,7,sec2dot3-nutrients-08-00578,2.3. Study Variables,article[pmcid='PMC5037562']/body//p[7],1331,561f5b70cd545525779bb42dd159df5830f89c73b80d3f51901f19f5b381d146,,
PMC5037562,8,sec2dot4-nutrients-08-00578,2.4. Statistical Methods,article[pmcid='PMC5037562']/body//p[8],548,cb8e9e91bac02f045382712e0ea671018b2e9b12a02b4d3639c4dfbcc8aeef84,,
PMC5037562,9,sec2dot5-nutrients-08-00578,2.5. Ethical Approval,article[pmcid='PMC5037562']/body//p[9],135,72ee9fabdbfdc5847e80a5fd6da977aa2b3f105a9e7d3c1a1534d3d8560f68e8,,
PMC5037562,10,sec3-nutrients-08-00578,3. Results,article[pmcid='PMC5037562']/body//p[10],1346,482c629bcde0ba8d92c69508e84390ab951c135774ebe4e1aa7bec988799255f,,
PMC5037562,11,sec3-nutrients-08-00578,3. Results,article[pmcid='PMC5037562']/body//p[11],680,b6ea171aab977ad702e1604414ec1499ae359870a27b9fb9a59ad0025920a7df,,
PMC5037562,12,sec3-nutrients-08-00578,3. Results,article[pmcid='PMC5037562']/body//p[12],411,f033cd5836292bc2dc370c648e57db3556fdc3d5e0665a1bb354a3429469e0cd,,
PMC5037562,13,sec3-nutrients-08-00578,3. Results,article[pmcid='PMC5037562']/body//p[13],611,98331c7e3cd7c2b0d833918229a3be30a9777d7688d32148bb6d27e3c4ad425a,,
PMC5037562,14,sec4-nutrients-08-00578,4. Discussion,article[pmcid='PMC5037562']/body//p[14],708,ff39ff9a15b71bd89a221f41a1375256633820afbe18a9df57a93e445e423fa6,,
PMC5037562,15,sec4-nutrients-08-00578,4. Discussion,article[pmcid='PMC5037562']/body//p[15],1415,10f208d984159c6e22def59c6542a8091712549f55560c26ae7aaf3a2ab68118,,
PMC5037562,16,sec4-nutrients-08-00578,4. Discussion,article[pmcid='PMC5037562']/body//p[16],1472,9d427f64faacae83d412e9663d781a7f37b536e05b87d741414951b94ccbc69d,,
PMC5037562,17,sec4-nutrients-08-00578,4. Discussion,article[pmcid='PMC5037562']/body//p[17],1804,bf8c89cee66f2f17aff4193e4d353d543095db7b733ccb3fda18aeb359d97b10,,
PMC5037562,18,sec4-nutrients-08-00578,4. Discussion,article[pmcid='PMC5037562']/body//p[18],2275,9bae3d0f93b9c719937e5182decfbade307a0414143d198949515b02e2da3337,,
PMC5037562,19,sec5-nutrients-08-00578,5. Conclusions,article[pmcid='PMC5037562']/body//p[19],603,7db9b3a0cb5e2e21ace871460d27d098b248ef4e48ca5f2443dbd489e4d6672e,,
